month,season,disease_category,disease,cases_reported,avg_severity,avg_age
2024-05,Summer,Mental,Depression,446,5.0,50.4
2024-05,Summer,Mental,Insomnia,315,6.5,39.5
2024-05,Summer,Mental,Stress,174,4.5,49.5
2024-05,Summer,Mental,Migraine,65,5.4,44.8
2024-05,Summer,Skin,Eczema,291,4.5,43.5
2024-05,Summer,Skin,Psoriasis,151,5.3,47.9
2024-05,Summer,Skin,Acne,395,6.5,58.4
2024-05,Summer,Skin,Dermatitis,312,5.0,41.5
2024-05,Summer,Lifestyle,Hypertension,162,6.7,51.8
2024-05,Summer,Lifestyle,Fatigue,169,4.9,55.0
2024-05,Summer,Lifestyle,Poor Immunity,439,4.1,50.8
2024-06,Summer,Respiratory,Asthma,315,5.2,36.8
2024-06,Summer,Respiratory,Bronchitis,104,7.0,42.8
2024-06,Summer,Respiratory,Common Cold,126,7.0,51.9
2024-06,Summer,Respiratory,Sinusitis,284,7.9,41.4
2024-06,Summer,Respiratory,Allergic Rhinitis,492,6.5,58.4
2024-06,Summer,Digestive,IBS,440,7.5,42.6
2024-06,Summer,Digestive,Acidity,180,6.0,35.6
2024-06,Summer,Digestive,Constipation,129,6.2,54.0
2024-06,Summer,Digestive,Gastritis,210,5.6,30.6
2024-06,Summer,Digestive,Indigestion,433,4.2,43.4
2024-06,Summer,Metabolic,Diabetes,244,5.1,57.2
2024-06,Summer,Metabolic,Obesity,196,6.4,54.3
2024-06,Summer,Metabolic,Thyroid Disorder,361,4.8,55.0
2024-06,Summer,Metabolic,High Cholesterol,426,4.8,34.7
2024-06,Summer,Musculoskeletal,Arthritis,431,4.1,50.8
2024-06,Summer,Musculoskeletal,Back Pain,111,4.0,48.0
2024-06,Summer,Musculoskeletal,Joint Pain,257,5.7,40.8
2024-06,Summer,Musculoskeletal,Muscle Weakness,107,5.1,36.7
2024-06,Summer,Mental,Anxiety,68,4.1,34.9
2024-06,Summer,Mental,Depression,323,6.3,59.4
2024-06,Summer,Mental,Insomnia,387,4.7,57.7
2024-06,Summer,Mental,Stress,316,4.9,50.7
2024-06,Summer,Mental,Migraine,83,5.3,32.2
2024-06,Summer,Skin,Eczema,496,5.9,53.6
2024-06,Summer,Skin,Psoriasis,390,6.2,59.8
2024-06,Summer,Skin,Acne,320,4.4,30.0
2024-06,Summer,Skin,Dermatitis,162,5.2,42.7
2024-06,Summer,Lifestyle,Hypertension,289,6.1,37.1
2024-06,Summer,Lifestyle,Fatigue,477,7.3,33.3
2024-06,Summer,Lifestyle,Poor Immunity,568,6.6,49.3
2024-07,Monsoon,Respiratory,Asthma,328,4.6,38.7
2024-07,Monsoon,Respiratory,Bronchitis,565,7.4,44.8
2024-07,Monsoon,Respiratory,Common Cold,285,6.6,52.5
2024-07,Monsoon,Respiratory,Sinusitis,241,5.6,51.5
2024-07,Monsoon,Respiratory,Allergic Rhinitis,256,6.6,46.3
2024-07,Monsoon,Digestive,IBS,213,6.8,38.1
2024-07,Monsoon,Digestive,Acidity,298,6.4,54.4
2024-07,Monsoon,Digestive,Constipation,337,6.8,37.2
2024-07,Monsoon,Digestive,Gastritis,137,5.4,47.8
2024-07,Monsoon,Digestive,Indigestion,99,5.5,34.8
2024-07,Monsoon,Metabolic,Diabetes,121,6.4,50.1
2024-07,Monsoon,Metabolic,Obesity,94,4.1,48.2
2024-07,Monsoon,Metabolic,Thyroid Disorder,335,5.9,43.1
2024-07,Monsoon,Metabolic,High Cholesterol,194,7.6,36.5
2024-07,Monsoon,Musculoskeletal,Arthritis,336,4.9,40.5
2024-07,Monsoon,Musculoskeletal,Back Pain,153,6.9,51.0
2024-07,Monsoon,Musculoskeletal,Joint Pain,86,5.8,56.3
2024-07,Monsoon,Musculoskeletal,Muscle Weakness,397,6.4,32.1
2024-07,Monsoon,Mental,Anxiety,268,4.1,38.2
2024-07,Monsoon,Mental,Depression,230,5.6,35.4
2024-07,Monsoon,Mental,Insomnia,208,5.7,48.3
2024-07,Monsoon,Mental,Stress,302,6.6,33.4
2024-07,Monsoon,Mental,Migraine,435,4.9,47.7
2024-07,Monsoon,Skin,Eczema,110,6.7,53.3
2024-07,Monsoon,Skin,Psoriasis,278,7.7,36.8
2024-07,Monsoon,Skin,Acne,441,7.8,55.4
2024-07,Monsoon,Skin,Dermatitis,523,6.0,41.7
2024-07,Monsoon,Lifestyle,Hypertension,62,7.1,57.8
2024-07,Monsoon,Lifestyle,Fatigue,99,6.0,38.7
2024-07,Monsoon,Lifestyle,Poor Immunity,187,7.1,51.3
2024-08,Monsoon,Respiratory,Asthma,104,6.2,36.0
2024-08,Monsoon,Respiratory,Bronchitis,366,4.6,31.5
2024-08,Monsoon,Respiratory,Common Cold,374,7.9,52.8
2024-08,Monsoon,Respiratory,Sinusitis,418,4.2,42.0
2024-08,Monsoon,Respiratory,Allergic Rhinitis,469,5.9,41.0
2024-08,Monsoon,Digestive,IBS,118,6.7,42.6
2024-08,Monsoon,Digestive,Acidity,110,7.4,47.6
2024-08,Monsoon,Digestive,Constipation,505,6.3,44.3
2024-08,Monsoon,Digestive,Gastritis,431,4.6,47.2
2024-08,Monsoon,Digestive,Indigestion,197,4.2,51.4
2024-08,Monsoon,Metabolic,Diabetes,183,6.7,41.0
2024-08,Monsoon,Metabolic,Obesity,80,6.2,59.5
2024-08,Monsoon,Metabolic,Thyroid Disorder,223,7.2,36.7
2024-08,Monsoon,Metabolic,High Cholesterol,61,4.9,39.4
2024-08,Monsoon,Musculoskeletal,Arthritis,274,5.8,30.3
2024-08,Monsoon,Musculoskeletal,Back Pain,448,5.5,31.2
2024-08,Monsoon,Musculoskeletal,Joint Pain,328,6.6,60.0
2024-08,Monsoon,Musculoskeletal,Muscle Weakness,366,6.6,44.0
2024-08,Monsoon,Mental,Anxiety,486,7.3,45.7
2024-08,Monsoon,Mental,Depression,388,7.3,44.6
2024-08,Monsoon,Mental,Insomnia,289,6.8,56.0
2024-08,Monsoon,Mental,Stress,207,6.5,52.8
2024-08,Monsoon,Mental,Migraine,153,5.4,34.1
2024-08,Monsoon,Skin,Eczema,449,6.3,31.0
2024-08,Monsoon,Skin,Psoriasis,325,7.2,48.9
2024-08,Monsoon,Skin,Acne,429,4.3,34.8
2024-08,Monsoon,Skin,Dermatitis,57,7.2,45.9
2024-08,Monsoon,Lifestyle,Hypertension,114,7.5,32.4
2024-08,Monsoon,Lifestyle,Fatigue,246,6.5,51.1
2024-08,Monsoon,Lifestyle,Poor Immunity,396,6.8,45.6
2024-09,Autumn,Respiratory,Asthma,361,4.4,34.0
2024-09,Autumn,Respiratory,Bronchitis,110,5.0,54.9
2024-09,Autumn,Respiratory,Common Cold,223,6.5,56.0
2024-09,Autumn,Respiratory,Sinusitis,133,4.3,47.6
2024-09,Autumn,Respiratory,Allergic Rhinitis,340,6.1,52.9
2024-09,Autumn,Digestive,IBS,152,5.5,31.6
2024-09,Autumn,Digestive,Acidity,56,7.7,53.6
2024-09,Autumn,Digestive,Constipation,54,7.3,58.9
2024-09,Autumn,Digestive,Gastritis,273,4.4,55.5
2024-09,Autumn,Digestive,Indigestion,199,4.6,40.9
2024-09,Autumn,Metabolic,Diabetes,518,4.8,47.4
2024-09,Autumn,Metabolic,Obesity,41,4.1,40.6
2024-09,Autumn,Metabolic,Thyroid Disorder,109,6.0,45.5
2024-09,Autumn,Metabolic,High Cholesterol,125,4.4,47.3
2024-09,Autumn,Musculoskeletal,Arthritis,468,5.7,49.3
2024-09,Autumn,Musculoskeletal,Back Pain,277,5.4,45.6
2024-09,Autumn,Musculoskeletal,Joint Pain,464,4.7,39.4
2024-09,Autumn,Musculoskeletal,Muscle Weakness,318,5.5,46.2
2024-09,Autumn,Mental,Anxiety,70,4.5,36.2
2024-09,Autumn,Mental,Depression,344,5.1,30.7
2024-09,Autumn,Mental,Insomnia,356,7.8,57.2
2024-09,Autumn,Mental,Stress,370,7.3,53.3
2024-09,Autumn,Mental,Migraine,108,5.5,53.5
2024-09,Autumn,Skin,Eczema,406,6.7,33.7
2024-09,Autumn,Skin,Psoriasis,182,6.4,59.2
2024-09,Autumn,Skin,Acne,272,5.7,38.7
2024-09,Autumn,Skin,Dermatitis,514,7.2,38.0
2024-09,Autumn,Lifestyle,Hypertension,417,5.4,52.7
2024-09,Autumn,Lifestyle,Fatigue,299,6.1,59.3
2024-09,Autumn,Lifestyle,Poor Immunity,74,5.2,50.1
2024-10,Autumn,Respiratory,Asthma,477,5.4,49.3
2024-10,Autumn,Respiratory,Bronchitis,422,6.5,56.8
2024-10,Autumn,Respiratory,Common Cold,548,5.7,52.5
2024-10,Autumn,Respiratory,Sinusitis,306,4.5,46.8
2024-10,Autumn,Respiratory,Allergic Rhinitis,73,6.1,52.9
2024-10,Autumn,Digestive,IBS,517,5.0,44.8
2024-10,Autumn,Digestive,Acidity,304,6.3,43.4
2024-10,Autumn,Digestive,Constipation,453,7.2,40.0
2024-10,Autumn,Digestive,Gastritis,317,7.5,39.3
2024-10,Autumn,Digestive,Indigestion,185,7.7,33.0
2024-10,Autumn,Metabolic,Diabetes,78,6.5,48.5
2024-10,Autumn,Metabolic,Obesity,336,4.9,56.2
2024-10,Autumn,Metabolic,Thyroid Disorder,346,5.5,58.7
2024-10,Autumn,Metabolic,High Cholesterol,430,5.5,36.7
2024-10,Autumn,Musculoskeletal,Arthritis,405,6.4,57.6
2024-10,Autumn,Musculoskeletal,Back Pain,243,6.6,50.1
2024-10,Autumn,Musculoskeletal,Joint Pain,345,7.5,33.9
2024-10,Autumn,Musculoskeletal,Muscle Weakness,204,5.9,42.8
2024-10,Autumn,Mental,Anxiety,47,5.0,47.0
2024-10,Autumn,Mental,Depression,342,7.6,59.8
2024-10,Autumn,Mental,Insomnia,227,5.8,41.9
2024-10,Autumn,Mental,Stress,476,7.4,52.4
2024-10,Autumn,Mental,Migraine,240,5.8,40.3
2024-10,Autumn,Skin,Eczema,104,7.7,37.0
2024-10,Autumn,Skin,Psoriasis,267,6.7,34.3
2024-10,Autumn,Skin,Acne,209,4.4,36.6
2024-10,Autumn,Skin,Dermatitis,390,7.1,33.8
2024-10,Autumn,Lifestyle,Hypertension,190,4.2,38.7
2024-10,Autumn,Lifestyle,Fatigue,194,6.9,56.4
2024-10,Autumn,Lifestyle,Poor Immunity,278,4.2,51.3
2024-11,Winter,Respiratory,Asthma,269,7.7,41.8
2024-11,Winter,Respiratory,Bronchitis,350,7.8,46.1
2024-11,Winter,Respiratory,Common Cold,357,5.6,38.7
2024-11,Winter,Respiratory,Sinusitis,475,5.0,32.3
2024-11,Winter,Respiratory,Allergic Rhinitis,330,5.1,32.6
2024-11,Winter,Digestive,IBS,398,6.2,53.2
2024-11,Winter,Digestive,Acidity,155,5.7,40.6
2024-11,Winter,Digestive,Constipation,483,6.5,48.0
2024-11,Winter,Digestive,Gastritis,110,7.0,35.0
2024-11,Winter,Digestive,Indigestion,247,6.1,42.0
2024-11,Winter,Metabolic,Diabetes,171,7.2,39.9
2024-11,Winter,Metabolic,Obesity,136,7.6,38.2
2024-11,Winter,Metabolic,Thyroid Disorder,189,5.1,56.4
2024-11,Winter,Metabolic,High Cholesterol,100,6.2,36.5
2024-11,Winter,Musculoskeletal,Arthritis,304,6.6,36.1
2024-11,Winter,Musculoskeletal,Back Pain,416,7.7,59.6
2024-11,Winter,Musculoskeletal,Joint Pain,280,6.1,49.4
2024-11,Winter,Musculoskeletal,Muscle Weakness,139,4.4,58.3
2024-11,Winter,Mental,Anxiety,195,4.1,40.8
2024-11,Winter,Mental,Depression,163,7.6,55.6
2024-11,Winter,Mental,Insomnia,344,4.2,48.4
2024-11,Winter,Mental,Stress,321,7.4,35.8
2024-11,Winter,Mental,Migraine,366,7.1,45.0
2024-11,Winter,Skin,Eczema,260,4.2,34.6
2024-11,Winter,Skin,Psoriasis,200,4.9,50.3
2024-11,Winter,Skin,Acne,265,5.9,42.7
2024-11,Winter,Skin,Dermatitis,82,6.8,49.6
2024-11,Winter,Lifestyle,Hypertension,302,6.4,44.4
2024-11,Winter,Lifestyle,Fatigue,213,7.5,49.2
2024-11,Winter,Lifestyle,Poor Immunity,400,6.4,50.9
2024-12,Winter,Respiratory,Asthma,435,6.9,53.8
2024-12,Winter,Respiratory,Bronchitis,150,5.2,34.1
2024-12,Winter,Respiratory,Common Cold,247,4.3,53.3
2024-12,Winter,Respiratory,Sinusitis,204,5.4,46.8
2024-12,Winter,Respiratory,Allergic Rhinitis,390,6.6,52.8
2024-12,Winter,Digestive,IBS,211,7.1,49.0
2024-12,Winter,Digestive,Acidity,340,6.1,32.1
2024-12,Winter,Digestive,Constipation,301,6.4,57.2
2024-12,Winter,Digestive,Gastritis,342,6.2,37.0
2024-12,Winter,Digestive,Indigestion,78,7.3,59.9
2024-12,Winter,Metabolic,Diabetes,369,4.4,41.6
2024-12,Winter,Metabolic,Obesity,348,4.4,33.6
2024-12,Winter,Metabolic,Thyroid Disorder,57,4.1,55.8
2024-12,Winter,Metabolic,High Cholesterol,346,4.5,58.3
2024-12,Winter,Musculoskeletal,Arthritis,416,4.8,45.8
2024-12,Winter,Musculoskeletal,Back Pain,232,7.6,35.3
2024-12,Winter,Musculoskeletal,Joint Pain,413,6.7,56.2
2024-12,Winter,Musculoskeletal,Muscle Weakness,466,6.5,35.7
2024-12,Winter,Mental,Anxiety,113,4.8,34.2
2024-12,Winter,Mental,Depression,108,7.5,59.8
2024-12,Winter,Mental,Insomnia,362,5.1,56.2
2024-12,Winter,Mental,Stress,479,7.0,47.7
2024-12,Winter,Mental,Migraine,122,5.9,49.6
2024-12,Winter,Skin,Eczema,466,5.9,50.5
2024-12,Winter,Skin,Psoriasis,471,6.1,53.4
2024-12,Winter,Skin,Acne,172,5.8,49.1
2024-12,Winter,Skin,Dermatitis,351,5.4,36.9
2024-12,Winter,Lifestyle,Hypertension,469,4.1,31.5
2024-12,Winter,Lifestyle,Fatigue,522,7.5,54.0
2024-12,Winter,Lifestyle,Poor Immunity,305,5.2,37.4
2025-01,Late Winter,Respiratory,Asthma,237,5.8,34.5
2025-01,Late Winter,Respiratory,Bronchitis,249,5.3,34.3
2025-01,Late Winter,Respiratory,Common Cold,368,7.7,46.9
2025-01,Late Winter,Respiratory,Sinusitis,157,4.8,55.8
2025-01,Late Winter,Respiratory,Allergic Rhinitis,223,6.5,40.7
2025-01,Late Winter,Digestive,IBS,375,7.6,52.2
2025-01,Late Winter,Digestive,Acidity,183,4.3,33.2
2025-01,Late Winter,Digestive,Constipation,104,5.1,57.0
2025-01,Late Winter,Digestive,Gastritis,222,7.3,54.4
2025-01,Late Winter,Digestive,Indigestion,559,5.7,58.0
2025-01,Late Winter,Metabolic,Diabetes,75,5.0,39.4
2025-01,Late Winter,Metabolic,Obesity,158,6.0,53.5
2025-01,Late Winter,Metabolic,Thyroid Disorder,506,6.8,46.4
2025-01,Late Winter,Metabolic,High Cholesterol,382,6.4,52.8
2025-01,Late Winter,Musculoskeletal,Arthritis,48,5.4,48.7
2025-01,Late Winter,Musculoskeletal,Back Pain,528,5.4,54.5
2025-01,Late Winter,Musculoskeletal,Joint Pain,400,5.0,33.7
2025-01,Late Winter,Musculoskeletal,Muscle Weakness,403,6.8,39.6
2025-01,Late Winter,Mental,Anxiety,359,5.5,58.2
2025-01,Late Winter,Mental,Depression,351,6.4,47.0
2025-01,Late Winter,Mental,Insomnia,479,7.9,58.6
2025-01,Late Winter,Mental,Stress,88,7.3,42.5
2025-01,Late Winter,Mental,Migraine,236,5.6,49.2
2025-01,Late Winter,Skin,Eczema,507,6.6,59.7
2025-01,Late Winter,Skin,Psoriasis,508,7.9,34.6
2025-01,Late Winter,Skin,Acne,217,5.1,50.8
2025-01,Late Winter,Skin,Dermatitis,128,5.7,45.8
2025-01,Late Winter,Lifestyle,Hypertension,60,5.2,57.8
2025-01,Late Winter,Lifestyle,Fatigue,73,7.3,35.4
2025-01,Late Winter,Lifestyle,Poor Immunity,237,6.4,38.4
2025-02,Late Winter,Respiratory,Asthma,269,7.0,50.6
2025-02,Late Winter,Respiratory,Bronchitis,328,6.2,56.6
2025-02,Late Winter,Respiratory,Common Cold,193,4.8,42.0
2025-02,Late Winter,Respiratory,Sinusitis,193,7.4,37.9
2025-02,Late Winter,Respiratory,Allergic Rhinitis,78,7.6,46.0
2025-02,Late Winter,Digestive,IBS,167,5.8,31.4
2025-02,Late Winter,Digestive,Acidity,128,6.0,54.9
2025-02,Late Winter,Digestive,Constipation,77,7.2,40.0
2025-02,Late Winter,Digestive,Gastritis,221,4.4,58.0
2025-02,Late Winter,Digestive,Indigestion,69,6.7,54.0
2025-02,Late Winter,Metabolic,Diabetes,158,7.6,39.8
2025-02,Late Winter,Metabolic,Obesity,172,6.8,30.0
2025-02,Late Winter,Metabolic,Thyroid Disorder,175,7.0,42.6
2025-02,Late Winter,Metabolic,High Cholesterol,319,5.7,31.4
2025-02,Late Winter,Musculoskeletal,Arthritis,120,5.7,43.6
2025-02,Late Winter,Musculoskeletal,Back Pain,129,5.9,36.3
2025-02,Late Winter,Musculoskeletal,Joint Pain,73,5.4,46.1
2025-02,Late Winter,Musculoskeletal,Muscle Weakness,379,4.2,38.4
2025-02,Late Winter,Mental,Anxiety,465,6.3,58.7
2025-02,Late Winter,Mental,Depression,214,4.2,37.7
2025-02,Late Winter,Mental,Insomnia,354,4.8,45.0
2025-02,Late Winter,Mental,Stress,397,7.3,56.8
2025-02,Late Winter,Mental,Migraine,188,6.5,39.5
2025-02,Late Winter,Skin,Eczema,147,6.7,42.7
2025-02,Late Winter,Skin,Psoriasis,93,4.2,58.5
2025-02,Late Winter,Skin,Acne,219,6.6,59.0
2025-02,Late Winter,Skin,Dermatitis,239,7.5,33.0
2025-02,Late Winter,Lifestyle,Hypertension,575,7.8,38.2
2025-02,Late Winter,Lifestyle,Fatigue,78,5.2,44.8
2025-02,Late Winter,Lifestyle,Poor Immunity,357,7.6,41.8
2025-03,Spring,Respiratory,Asthma,145,4.5,52.9
2025-03,Spring,Respiratory,Bronchitis,457,6.1,50.5
2025-03,Spring,Respiratory,Common Cold,342,5.1,55.9
2025-03,Spring,Respiratory,Sinusitis,346,5.8,37.7
2025-03,Spring,Respiratory,Allergic Rhinitis,409,6.6,46.7
2025-03,Spring,Digestive,IBS,343,7.3,55.8
2025-03,Spring,Digestive,Acidity,304,6.6,42.4
2025-03,Spring,Digestive,Constipation,401,4.1,55.7
2025-03,Spring,Digestive,Gastritis,288,5.4,44.8
2025-03,Spring,Digestive,Indigestion,288,6.5,55.6
2025-03,Spring,Metabolic,Diabetes,399,4.1,31.8
2025-03,Spring,Metabolic,Obesity,240,6.6,30.8
2025-03,Spring,Metabolic,Thyroid Disorder,216,5.4,40.4
2025-03,Spring,Metabolic,High Cholesterol,202,7.0,33.4
2025-03,Spring,Musculoskeletal,Arthritis,312,6.6,50.0
2025-03,Spring,Musculoskeletal,Back Pain,306,7.5,45.6
2025-03,Spring,Musculoskeletal,Joint Pain,453,5.7,36.8
2025-03,Spring,Musculoskeletal,Muscle Weakness,250,5.4,35.7
2025-03,Spring,Mental,Anxiety,348,7.8,59.4
2025-03,Spring,Mental,Depression,433,4.3,31.5
2025-03,Spring,Mental,Insomnia,451,7.0,36.0
2025-03,Spring,Mental,Stress,233,6.6,50.7
2025-03,Spring,Mental,Migraine,352,6.0,50.2
2025-03,Spring,Skin,Eczema,483,4.9,31.8
2025-03,Spring,Skin,Psoriasis,263,5.1,47.1
2025-03,Spring,Skin,Acne,409,5.4,35.0
2025-03,Spring,Skin,Dermatitis,105,5.7,32.9
2025-03,Spring,Lifestyle,Hypertension,140,6.4,56.4
2025-03,Spring,Lifestyle,Fatigue,129,5.5,38.8
2025-03,Spring,Lifestyle,Poor Immunity,527,4.5,55.8
2025-04,Spring,Respiratory,Asthma,505,7.6,30.2
2025-04,Spring,Respiratory,Bronchitis,283,6.0,40.1
2025-04,Spring,Respiratory,Common Cold,459,8.0,51.3
2025-04,Spring,Respiratory,Sinusitis,133,5.3,54.2
2025-04,Spring,Respiratory,Allergic Rhinitis,293,7.1,31.6
2025-04,Spring,Digestive,IBS,376,6.1,32.0
2025-04,Spring,Digestive,Acidity,319,4.7,40.8
2025-04,Spring,Digestive,Constipation,253,5.1,59.9
2025-04,Spring,Digestive,Gastritis,67,6.2,47.2
2025-04,Spring,Digestive,Indigestion,203,7.0,46.8
2025-04,Spring,Metabolic,Diabetes,342,7.4,49.0
2025-04,Spring,Metabolic,Obesity,422,6.6,57.2
2025-04,Spring,Metabolic,Thyroid Disorder,203,6.3,34.4
2025-04,Spring,Metabolic,High Cholesterol,148,5.7,35.5
2025-04,Spring,Musculoskeletal,Arthritis,336,7.1,35.0
2025-04,Spring,Musculoskeletal,Back Pain,277,4.8,57.9
2025-04,Spring,Musculoskeletal,Joint Pain,260,5.0,30.3
2025-04,Spring,Musculoskeletal,Muscle Weakness,449,5.8,42.7
