transaction_id,user_id,transaction_type,amount,transaction_date,payment_method,status,popcoins_earned,vendor_name,category
TXN00000026,U000001,UPI_Payment,3612.78,2025-10-25 17:08:37,Net Banking,Completed,72,Mobile Operator,Utilities
TXN00000027,U000001,Shopping,3501.18,2025-11-09 17:08:37,Card,Completed,35,Water Board,Groceries
TXN00000028,U000001,Card_Payment,3096.8,2025-09-24 17:08:37,UPI,Completed,30,Electricity Board,Utilities
TXN00000029,U000001,Card_Payment,2177.95,2025-09-11 17:08:37,Card,Completed,21,Mobile Operator,Groceries
TXN00000030,U000001,Shopping,3394.35,2025-11-12 17:08:37,Net Banking,Completed,33,Amazon,Utilities
TXN00000031,U000002,Recharge,1709.18,2025-11-03 17:08:37,Net Banking,Completed,17,Electricity Board,Fashion
TXN00000032,U000002,Card_Payment,779.4,2025-10-04 17:08:37,Net Banking,Completed,7,Amazon,Groceries
TXN00000033,U000002,Shopping,4436.38,2025-09-05 17:08:37,Card,Completed,44,Mobile Operator,Groceries
TXN00000034,U000002,Card_Payment,780.48,2025-11-20 17:08:37,Card,Completed,7,Flipkart,Fashion
TXN00000035,U000002,Recharge,2349.52,2025-11-18 17:08:37,Card,Completed,23,Flipkart,Groceries
TXN00000036,U000002,Recharge,4940.07,2025-10-08 17:08:37,Net Banking,Completed,49,Water Board,Entertainment
TXN00000037,U000002,Shopping,4161.32,2025-11-13 17:08:37,Net Banking,Completed,41,Mobile Operator,Groceries
TXN00000038,U000002,Bill_Payment,3771.3,2025-10-29 17:08:37,Net Banking,Completed,56,Mobile Operator,Fashion
TXN00000039,U000002,Bill_Payment,2227.37,2025-11-03 17:08:37,Card,Completed,33,Electricity Board,Utilities
TXN00000040,U000002,Recharge,448.86,2025-10-15 17:08:37,Net Banking,Completed,4,Flipkart,Fashion
TXN00000041,U000002,UPI_Payment,2103.6,2025-10-05 17:08:37,Card,Completed,42,Amazon,Fashion
TXN00000042,U000002,Shopping,1977.91,2025-09-05 17:08:37,UPI,Completed,19,Gas Agency,Groceries
TXN00000043,U000002,Shopping,79.19,2025-10-15 17:08:37,Card,Completed,0,Gas Agency,Entertainment
TXN00000044,U000002,Recharge,4494.17,2025-10-30 17:08:37,Card,Completed,44,Mobile Operator,Electronics
TXN00000045,U000002,Shopping,1713.84,2025-10-13 17:08:37,Net Banking,Completed,17,Flipkart,Groceries
TXN00000046,U000002,Card_Payment,4904.57,2025-10-14 17:08:37,Net Banking,Completed,49,Gas Agency,Electronics
TXN00000047,U000002,UPI_Payment,3231.61,2025-10-05 17:08:37,UPI,Completed,64,Amazon,Utilities
TXN00000048,U000002,Shopping,1670.4,2025-10-21 17:08:37,Card,Completed,16,Electricity Board,Groceries
TXN00000049,U000002,Bill_Payment,4182.81,2025-09-25 17:08:37,UPI,Completed,62,Electricity Board,Fashion
TXN00000050,U000002,UPI_Payment,3917.1,2025-11-30 17:08:37,UPI,Completed,78,Flipkart,Electronics
TXN00000051,U000002,Recharge,804.29,2025-09-09 17:08:37,UPI,Completed,8,Gas Agency,Fashion
TXN00000052,U000002,Shopping,3512.35,2025-11-12 17:08:37,Net Banking,Completed,35,Gas Agency,Electronics
TXN00000053,U000002,Card_Payment,4825.37,2025-11-30 17:08:37,Card,Completed,48,Gas Agency,Groceries
TXN00000054,U000002,Shopping,4710.28,2025-09-19 17:08:37,Net Banking,Completed,47,Water Board,Fashion
TXN00000055,U000002,UPI_Payment,3501.11,2025-09-07 17:08:37,Net Banking,Completed,70,Amazon,Entertainment
TXN00000056,U000002,UPI_Payment,1768.66,2025-10-17 17:08:37,UPI,Completed,35,Gas Agency,Utilities
TXN00000057,U000002,UPI_Payment,4255.4,2025-11-20 17:08:37,Card,Completed,85,Electricity Board,Groceries
TXN00000058,U000002,Card_Payment,2205.66,2025-09-11 17:08:37,Card,Completed,22,Gas Agency,Entertainment
TXN00000059,U000002,Shopping,2351.13,2025-09-19 17:08:37,Card,Completed,23,Electricity Board,Fashion
TXN00000060,U000002,UPI_Payment,1430.69,2025-10-05 17:08:37,Net Banking,Completed,28,Gas Agency,Groceries
TXN00000061,U000002,Bill_Payment,192.06,2025-11-10 17:08:37,Card,Failed,0,Flipkart,Utilities
TXN00000062,U000002,Bill_Payment,1734.68,2025-09-05 17:08:37,Card,Failed,0,Gas Agency,Electronics
TXN00000063,U000002,Recharge,4742.91,2025-10-12 17:08:37,Card,Completed,47,Gas Agency,Fashion
TXN00000064,U000002,Shopping,3247.22,2025-12-01 17:08:37,UPI,Completed,32,Electricity Board,Fashion
TXN00000065,U000002,Shopping,3474.35,2025-09-20 17:08:37,Card,Completed,34,Mobile Operator,Entertainment
TXN00000066,U000002,Recharge,1751.6,2025-09-24 17:08:37,Card,Pending,0,Electricity Board,Groceries
TXN00000067,U000002,Bill_Payment,1567.78,2025-11-09 17:08:37,Card,Completed,23,Amazon,Entertainment
TXN00000068,U000002,Card_Payment,998.13,2025-10-29 17:08:37,Net Banking,Completed,9,Gas Agency,Entertainment
TXN00000069,U000002,Recharge,1450.84,2025-11-09 17:08:37,Card,Completed,14,Flipkart,Utilities
TXN00000070,U000002,Card_Payment,1546.22,2025-11-17 17:08:37,Card,Completed,15,Amazon,Electronics
TXN00000071,U000002,Recharge,1496.08,2025-09-13 17:08:37,Card,Failed,0,Amazon,Electronics
TXN00000072,U000002,Recharge,1457.48,2025-10-21 17:08:37,UPI,Completed,14,Amazon,Utilities
TXN00000073,U000002,Shopping,614.73,2025-10-02 17:08:37,UPI,Completed,6,Gas Agency,Electronics
TXN00000074,U000002,Card_Payment,788.53,2025-10-26 17:08:37,UPI,Completed,7,Flipkart,Electronics
TXN00000075,U000002,Recharge,3834.0,2025-09-15 17:08:37,UPI,Completed,38,Gas Agency,Groceries
TXN00000076,U000002,Shopping,4547.1,2025-09-19 17:08:37,Card,Completed,45,Electricity Board,Entertainment
TXN00000077,U000002,Recharge,348.14,2025-11-21 17:08:37,UPI,Pending,0,Water Board,Fashion
TXN00000078,U000003,UPI_Payment,827.43,2025-11-24 17:08:37,UPI,Completed,16,Amazon,Groceries
TXN00000079,U000003,Shopping,3462.39,2025-11-29 17:08:37,UPI,Completed,34,Electricity Board,Utilities
TXN00000080,U000003,Shopping,402.34,2025-10-31 17:08:37,Net Banking,Completed,4,Gas Agency,Fashion
TXN00000081,U000003,Shopping,618.14,2025-11-14 17:08:37,Card,Completed,6,Flipkart,Electronics
TXN00000082,U000003,UPI_Payment,871.32,2025-09-22 17:08:37,Card,Completed,17,Mobile Operator,Electronics
TXN00000083,U000003,Shopping,3458.96,2025-10-30 17:08:37,Net Banking,Completed,34,Gas Agency,Groceries
TXN00000084,U000003,Shopping,448.19,2025-10-09 17:08:37,Net Banking,Completed,4,Electricity Board,Entertainment
TXN00000085,U000003,Bill_Payment,178.03,2025-09-08 17:08:37,Net Banking,Completed,2,Gas Agency,Electronics
TXN00000086,U000003,Bill_Payment,2902.42,2025-11-11 17:08:37,Card,Completed,43,Gas Agency,Groceries
TXN00000087,U000003,Bill_Payment,948.37,2025-09-13 17:08:37,Card,Completed,14,Amazon,Groceries
TXN00000088,U000003,Bill_Payment,2071.32,2025-11-20 17:08:37,UPI,Completed,31,Electricity Board,Groceries
TXN00000089,U000003,Shopping,1476.68,2025-09-24 17:08:37,UPI,Failed,0,Mobile Operator,Electronics
TXN00000090,U000003,Bill_Payment,1299.37,2025-10-13 17:08:37,Net Banking,Completed,19,Amazon,Entertainment
TXN00000091,U000003,Shopping,2095.58,2025-10-18 17:08:37,Net Banking,Completed,20,Mobile Operator,Groceries
TXN00000092,U000003,UPI_Payment,1057.61,2025-10-28 17:08:37,Card,Completed,21,Water Board,Groceries
TXN00000093,U000003,UPI_Payment,192.9,2025-11-03 17:08:37,Net Banking,Completed,3,Flipkart,Utilities
TXN00000094,U000003,Recharge,117.69,2025-11-05 17:08:37,UPI,Completed,1,Mobile Operator,Electronics
TXN00000095,U000003,Card_Payment,2516.96,2025-09-29 17:08:37,Net Banking,Completed,25,Electricity Board,Groceries
TXN00000096,U000003,Shopping,4902.21,2025-09-24 17:08:37,UPI,Completed,49,Mobile Operator,Fashion
TXN00000097,U000003,Recharge,2565.79,2025-11-25 17:08:37,Card,Failed,0,Mobile Operator,Utilities
TXN00000098,U000003,Recharge,1372.5,2025-10-26 17:08:37,Net Banking,Completed,13,Gas Agency,Groceries
TXN00000099,U000003,Card_Payment,2260.41,2025-10-22 17:08:37,Net Banking,Completed,22,Gas Agency,Groceries
TXN00000100,U000003,Shopping,4667.62,2025-09-05 17:08:37,UPI,Failed,0,Gas Agency,Groceries
TXN00000101,U000003,Card_Payment,4287.26,2025-10-24 17:08:37,Net Banking,Completed,42,Mobile Operator,Groceries
TXN00000102,U000003,Shopping,4942.65,2025-09-11 17:08:37,UPI,Completed,49,Mobile Operator,Electronics
TXN00000103,U000003,Card_Payment,2536.34,2025-11-21 17:08:37,Card,Completed,25,Amazon,Entertainment
TXN00000104,U000003,Shopping,125.97,2025-09-11 17:08:37,UPI,Completed,1,Amazon,Groceries
TXN00000105,U000003,Bill_Payment,1725.88,2025-09-11 17:08:37,UPI,Completed,25,Electricity Board,Entertainment
TXN00000106,U000003,Shopping,4772.99,2025-10-02 17:08:37,Net Banking,Completed,47,Amazon,Entertainment
TXN00000107,U000003,UPI_Payment,1212.11,2025-10-28 17:08:37,UPI,Completed,24,Water Board,Electronics
TXN00000108,U000003,Shopping,4892.77,2025-09-04 17:08:37,UPI,Completed,48,Mobile Operator,Fashion
TXN00000109,U000004,UPI_Payment,277.66,2025-10-27 17:08:37,Card,Completed,5,Electricity Board,Groceries
TXN00000110,U000004,Card_Payment,1258.78,2025-09-07 17:08:37,UPI,Completed,12,Flipkart,Fashion
TXN00000111,U000004,UPI_Payment,3066.98,2025-09-07 17:08:37,UPI,Completed,61,Mobile Operator,Entertainment
TXN00000112,U000004,Card_Payment,1199.33,2025-10-06 17:08:37,Card,Completed,11,Water Board,Electronics
TXN00000113,U000004,Shopping,4510.99,2025-11-13 17:08:37,UPI,Completed,45,Mobile Operator,Utilities
TXN00000114,U000004,Recharge,1530.81,2025-09-06 17:08:37,Card,Pending,0,Mobile Operator,Utilities
TXN00000115,U000004,Card_Payment,4996.9,2025-11-20 17:08:37,UPI,Failed,0,Mobile Operator,Entertainment
TXN00000116,U000004,Bill_Payment,2895.32,2025-10-27 17:08:37,UPI,Pending,0,Water Board,Groceries
TXN00000117,U000004,Bill_Payment,90.08,2025-11-27 17:08:37,Net Banking,Failed,0,Water Board,Groceries
TXN00000118,U000004,Bill_Payment,3889.92,2025-10-19 17:08:37,UPI,Completed,58,Water Board,Fashion
TXN00000119,U000004,Recharge,1290.6,2025-09-10 17:08:37,Net Banking,Completed,12,Flipkart,Electronics
TXN00000120,U000004,UPI_Payment,1579.22,2025-09-20 17:08:37,Card,Completed,31,Water Board,Fashion
TXN00000121,U000004,UPI_Payment,4552.66,2025-10-11 17:08:37,UPI,Completed,91,Flipkart,Fashion
TXN00000122,U000004,Recharge,4388.48,2025-09-30 17:08:37,Card,Completed,43,Flipkart,Utilities
TXN00000123,U000004,Shopping,4838.55,2025-10-21 17:08:37,UPI,Completed,48,Mobile Operator,Electronics
TXN00000124,U000004,Card_Payment,3783.05,2025-09-08 17:08:37,Net Banking,Completed,37,Water Board,Groceries
TXN00000125,U000004,Recharge,1860.59,2025-12-02 17:08:37,Card,Completed,18,Gas Agency,Electronics
TXN00000126,U000004,Shopping,1874.5,2025-10-31 17:08:37,Net Banking,Completed,18,Mobile Operator,Utilities
TXN00000127,U000004,UPI_Payment,3390.44,2025-09-15 17:08:37,Net Banking,Completed,67,Electricity Board,Entertainment
TXN00000128,U000004,Card_Payment,3255.88,2025-10-05 17:08:37,Net Banking,Completed,32,Electricity Board,Groceries
TXN00000129,U000004,UPI_Payment,741.9,2025-10-26 17:08:37,Card,Failed,0,Amazon,Electronics
TXN00000130,U000004,Card_Payment,4441.93,2025-10-06 17:08:37,Card,Completed,44,Water Board,Entertainment
TXN00000131,U000004,Shopping,2957.33,2025-10-11 17:08:37,Net Banking,Completed,29,Amazon,Groceries
TXN00000132,U000004,Recharge,2070.17,2025-11-29 17:08:37,Net Banking,Pending,0,Electricity Board,Fashion
TXN00000133,U000004,Shopping,2251.24,2025-10-18 17:08:37,UPI,Completed,22,Water Board,Utilities
TXN00000134,U000004,Recharge,4513.4,2025-11-26 17:08:37,Card,Completed,45,Electricity Board,Fashion
TXN00000135,U000004,UPI_Payment,4747.6,2025-11-22 17:08:37,Net Banking,Completed,94,Flipkart,Entertainment
TXN00000136,U000004,UPI_Payment,300.36,2025-11-17 17:08:37,Net Banking,Completed,6,Flipkart,Electronics
TXN00000137,U000004,Recharge,1075.43,2025-11-04 17:08:37,Card,Completed,10,Flipkart,Entertainment
TXN00000138,U000004,UPI_Payment,1422.51,2025-11-17 17:08:37,Net Banking,Pending,0,Electricity Board,Fashion
TXN00000139,U000004,UPI_Payment,3322.24,2025-12-02 17:08:37,Card,Completed,66,Flipkart,Entertainment
TXN00000140,U000004,Bill_Payment,128.12,2025-11-17 17:08:37,Net Banking,Completed,1,Mobile Operator,Entertainment
TXN00000141,U000004,UPI_Payment,3741.04,2025-10-18 17:08:37,Net Banking,Completed,74,Gas Agency,Electronics
TXN00000142,U000004,Shopping,2544.0,2025-11-28 17:08:37,Net Banking,Failed,0,Water Board,Entertainment
TXN00000143,U000005,Shopping,3234.54,2025-10-03 17:08:37,Card,Completed,32,Mobile Operator,Electronics
TXN00000144,U000005,Shopping,3576.39,2025-11-23 17:08:37,Card,Completed,35,Gas Agency,Fashion
TXN00000145,U000005,UPI_Payment,674.65,2025-09-20 17:08:37,Net Banking,Completed,13,Water Board,Utilities
TXN00000146,U000005,Shopping,4973.41,2025-10-06 17:08:37,Net Banking,Completed,49,Gas Agency,Groceries
TXN00000147,U000005,UPI_Payment,3975.83,2025-09-11 17:08:37,Net Banking,Completed,79,Gas Agency,Fashion
TXN00000148,U000005,Shopping,2285.2,2025-10-21 17:08:37,Card,Completed,22,Mobile Operator,Groceries
TXN00000149,U000005,UPI_Payment,1597.11,2025-11-01 17:08:37,Card,Completed,31,Flipkart,Groceries
TXN00000150,U000005,UPI_Payment,501.56,2025-10-09 17:08:37,UPI,Completed,10,Water Board,Utilities
TXN00000151,U000005,Card_Payment,2804.04,2025-09-23 17:08:37,Net Banking,Completed,28,Electricity Board,Electronics
TXN00000152,U000005,Shopping,1800.31,2025-10-10 17:08:37,Net Banking,Completed,18,Amazon,Utilities
TXN00000153,U000005,Recharge,1596.62,2025-09-30 17:08:37,UPI,Completed,15,Flipkart,Groceries
TXN00000154,U000005,Card_Payment,4244.01,2025-09-23 17:08:37,Card,Completed,42,Amazon,Utilities
TXN00000155,U000005,Recharge,1169.49,2025-09-23 17:08:37,Net Banking,Completed,11,Gas Agency,Entertainment
TXN00000156,U000005,UPI_Payment,3064.52,2025-09-06 17:08:37,Card,Completed,61,Amazon,Fashion
TXN00000157,U000005,Bill_Payment,3528.36,2025-10-21 17:08:37,Card,Completed,52,Amazon,Fashion
TXN00000158,U000005,Card_Payment,2853.29,2025-11-15 17:08:37,Net Banking,Completed,28,Water Board,Electronics
TXN00000159,U000005,UPI_Payment,3743.25,2025-10-11 17:08:37,Card,Completed,74,Electricity Board,Fashion
TXN00000160,U000005,Bill_Payment,1592.6,2025-09-22 17:08:37,Net Banking,Completed,23,Amazon,Electronics
TXN00000161,U000005,Card_Payment,829.18,2025-09-08 17:08:37,UPI,Completed,8,Electricity Board,Groceries
TXN00000162,U000005,Shopping,2454.03,2025-10-30 17:08:37,UPI,Completed,24,Gas Agency,Electronics
TXN00000163,U000005,Bill_Payment,2178.07,2025-09-08 17:08:37,Net Banking,Completed,32,Mobile Operator,Entertainment
TXN00000164,U000005,Bill_Payment,274.82,2025-09-18 17:08:37,UPI,Completed,4,Amazon,Fashion
TXN00000165,U000005,Bill_Payment,4729.35,2025-11-01 17:08:37,Card,Completed,70,Electricity Board,Electronics
TXN00000166,U000005,UPI_Payment,2512.06,2025-11-17 17:08:37,Card,Completed,50,Gas Agency,Fashion
TXN00000167,U000005,Recharge,2815.68,2025-10-19 17:08:37,UPI,Completed,28,Mobile Operator,Electronics
TXN00000168,U000005,Shopping,142.77,2025-10-24 17:08:37,Net Banking,Failed,0,Mobile Operator,Entertainment
TXN00000169,U000005,Shopping,3562.02,2025-11-19 17:08:37,Card,Completed,35,Amazon,Utilities
TXN00000170,U000005,Card_Payment,4016.54,2025-09-06 17:08:37,Card,Completed,40,Amazon,Groceries
TXN00000171,U000005,UPI_Payment,1254.42,2025-09-27 17:08:37,UPI,Completed,25,Mobile Operator,Utilities
TXN00000172,U000005,Bill_Payment,1146.78,2025-11-24 17:08:37,Net Banking,Completed,17,Water Board,Electronics
TXN00000173,U000005,Recharge,2574.26,2025-10-20 17:08:37,Card,Failed,0,Water Board,Fashion
TXN00000174,U000005,Card_Payment,558.88,2025-11-11 17:08:37,Net Banking,Completed,5,Flipkart,Electronics
TXN00000175,U000005,Card_Payment,4758.9,2025-10-05 17:08:37,Net Banking,Completed,47,Gas Agency,Groceries
TXN00000176,U000005,Recharge,3232.81,2025-10-23 17:08:37,Net Banking,Pending,0,Electricity Board,Fashion
TXN00000177,U000006,UPI_Payment,2371.16,2025-10-29 17:08:37,Net Banking,Completed,47,Amazon,Utilities
TXN00000178,U000006,Recharge,417.24,2025-11-29 17:08:37,UPI,Completed,4,Electricity Board,Utilities
TXN00000179,U000006,UPI_Payment,3241.1,2025-11-22 17:08:37,Net Banking,Pending,0,Gas Agency,Entertainment
TXN00000180,U000006,Shopping,2340.42,2025-11-28 17:08:37,Card,Completed,23,Gas Agency,Fashion
TXN00000181,U000006,Bill_Payment,3044.78,2025-11-26 17:08:37,Card,Completed,45,Amazon,Utilities
TXN00000182,U000006,UPI_Payment,2547.52,2025-11-02 17:08:37,Net Banking,Completed,50,Mobile Operator,Groceries
TXN00000183,U000006,Recharge,2637.6,2025-10-17 17:08:37,Card,Completed,26,Mobile Operator,Groceries
TXN00000184,U000006,Bill_Payment,3410.54,2025-09-14 17:08:37,Net Banking,Completed,51,Electricity Board,Electronics
TXN00000185,U000006,Bill_Payment,517.8,2025-10-28 17:08:37,Card,Completed,7,Water Board,Entertainment
TXN00000186,U000006,Card_Payment,1700.14,2025-11-15 17:08:37,Card,Completed,17,Electricity Board,Groceries
TXN00000187,U000006,Card_Payment,2995.45,2025-10-25 17:08:37,Net Banking,Failed,0,Mobile Operator,Utilities
TXN00000188,U000006,Card_Payment,3367.08,2025-09-07 17:08:37,Net Banking,Completed,33,Amazon,Groceries
TXN00000189,U000006,Recharge,1841.05,2025-11-10 17:08:37,UPI,Completed,18,Electricity Board,Groceries
TXN00000190,U000006,Card_Payment,1171.39,2025-11-24 17:08:37,Card,Completed,11,Amazon,Entertainment
TXN00000191,U000006,Recharge,4183.84,2025-11-29 17:08:37,Net Banking,Failed,0,Electricity Board,Entertainment
TXN00000192,U000006,Card_Payment,3006.37,2025-11-10 17:08:37,Net Banking,Completed,30,Gas Agency,Fashion
TXN00000193,U000006,Shopping,266.28,2025-11-03 17:08:37,Card,Completed,2,Gas Agency,Utilities
TXN00000194,U000006,Shopping,1208.31,2025-10-04 17:08:37,UPI,Completed,12,Electricity Board,Entertainment
TXN00000195,U000006,Shopping,2335.32,2025-10-16 17:08:37,Net Banking,Completed,23,Gas Agency,Groceries
TXN00000196,U000006,Card_Payment,4093.61,2025-11-16 17:08:37,Card,Completed,40,Amazon,Groceries
TXN00000197,U000006,Bill_Payment,2794.98,2025-09-28 17:08:37,UPI,Completed,41,Electricity Board,Electronics
TXN00000198,U000006,Card_Payment,1400.32,2025-11-15 17:08:37,Card,Failed,0,Amazon,Fashion
TXN00000199,U000006,Shopping,4428.92,2025-10-11 17:08:37,UPI,Failed,0,Mobile Operator,Entertainment
TXN00000200,U000006,Bill_Payment,1217.1,2025-10-17 17:08:37,UPI,Pending,0,Amazon,Utilities
TXN00000201,U000006,UPI_Payment,4203.92,2025-11-15 17:08:37,UPI,Completed,84,Amazon,Utilities
TXN00000202,U000006,Shopping,3495.56,2025-09-04 17:08:37,Card,Completed,34,Mobile Operator,Entertainment
TXN00000203,U000006,UPI_Payment,4533.99,2025-11-06 17:08:37,UPI,Completed,90,Gas Agency,Entertainment
TXN00000204,U000006,Recharge,2145.11,2025-11-03 17:08:37,Card,Completed,21,Amazon,Electronics
TXN00000205,U000006,Card_Payment,2128.14,2025-10-06 17:08:37,UPI,Completed,21,Amazon,Groceries
TXN00000206,U000006,Recharge,2703.47,2025-09-21 17:08:37,UPI,Completed,27,Water Board,Fashion
TXN00000207,U000006,Bill_Payment,2174.73,2025-11-03 17:08:37,Net Banking,Completed,32,Mobile Operator,Fashion
TXN00000208,U000006,UPI_Payment,2641.25,2025-09-27 17:08:37,Net Banking,Completed,52,Gas Agency,Entertainment
TXN00000209,U000006,Recharge,150.65,2025-11-28 17:08:37,Net Banking,Failed,0,Mobile Operator,Utilities
TXN00000210,U000006,Bill_Payment,3749.22,2025-11-25 17:08:37,Card,Completed,56,Flipkart,Electronics
TXN00000211,U000006,Recharge,3689.18,2025-11-28 17:08:37,Card,Completed,36,Gas Agency,Utilities
TXN00000212,U000006,Card_Payment,4160.4,2025-09-05 17:08:37,Card,Completed,41,Water Board,Fashion
TXN00000213,U000006,Card_Payment,362.35,2025-10-06 17:08:37,UPI,Completed,3,Electricity Board,Fashion
TXN00000214,U000006,UPI_Payment,3965.99,2025-10-24 17:08:37,Card,Failed,0,Gas Agency,Groceries
TXN00000215,U000006,Recharge,2393.33,2025-09-12 17:08:37,UPI,Completed,23,Electricity Board,Utilities
TXN00000216,U000006,UPI_Payment,4335.7,2025-11-18 17:08:37,Card,Completed,86,Mobile Operator,Groceries
TXN00000217,U000006,Shopping,4478.46,2025-11-10 17:08:37,Card,Completed,44,Water Board,Groceries
TXN00000218,U000006,Bill_Payment,4625.34,2025-11-23 17:08:37,Net Banking,Completed,69,Mobile Operator,Electronics
TXN00000219,U000006,Shopping,3032.14,2025-09-25 17:08:37,Card,Completed,30,Electricity Board,Electronics
TXN00000220,U000007,Bill_Payment,3321.55,2025-09-17 17:08:37,Net Banking,Completed,49,Mobile Operator,Fashion
TXN00000221,U000007,Shopping,1790.16,2025-10-19 17:08:37,Net Banking,Completed,17,Mobile Operator,Utilities
TXN00000222,U000007,UPI_Payment,421.45,2025-10-18 17:08:37,Net Banking,Completed,8,Water Board,Fashion
TXN00000223,U000007,UPI_Payment,756.76,2025-10-08 17:08:37,UPI,Completed,15,Flipkart,Electronics
TXN00000224,U000007,Card_Payment,3903.65,2025-10-15 17:08:37,Net Banking,Completed,39,Amazon,Entertainment
TXN00000225,U000007,Card_Payment,3411.36,2025-10-17 17:08:37,Card,Failed,0,Amazon,Entertainment
TXN00000226,U000007,Card_Payment,2670.83,2025-09-11 17:08:37,Card,Completed,26,Flipkart,Electronics
TXN00000227,U000007,UPI_Payment,3691.59,2025-10-15 17:08:37,Net Banking,Completed,73,Amazon,Utilities
TXN00000228,U000007,Bill_Payment,3534.99,2025-09-16 17:08:37,Card,Completed,53,Water Board,Groceries
TXN00000229,U000007,Card_Payment,657.06,2025-10-07 17:08:37,UPI,Failed,0,Water Board,Groceries
TXN00000230,U000007,UPI_Payment,4062.04,2025-10-24 17:08:37,Net Banking,Pending,0,Electricity Board,Electronics
TXN00000231,U000007,Recharge,2733.75,2025-11-13 17:08:37,Net Banking,Failed,0,Water Board,Fashion
TXN00000232,U000007,Bill_Payment,2568.34,2025-11-08 17:08:37,UPI,Completed,38,Flipkart,Groceries
TXN00000233,U000007,UPI_Payment,1836.44,2025-10-05 17:08:37,Net Banking,Completed,36,Flipkart,Entertainment
TXN00000234,U000007,UPI_Payment,375.45,2025-10-03 17:08:37,Net Banking,Completed,7,Mobile Operator,Groceries
TXN00000235,U000007,Recharge,415.07,2025-09-12 17:08:37,UPI,Pending,0,Mobile Operator,Groceries
TXN00000236,U000007,Recharge,1755.35,2025-09-24 17:08:37,Net Banking,Failed,0,Gas Agency,Fashion
TXN00000237,U000007,Card_Payment,2191.46,2025-11-26 17:08:37,UPI,Failed,0,Gas Agency,Fashion
TXN00000238,U000007,Bill_Payment,865.05,2025-09-04 17:08:37,UPI,Completed,12,Electricity Board,Entertainment
TXN00000239,U000007,Bill_Payment,4237.37,2025-09-13 17:08:37,Net Banking,Completed,63,Electricity Board,Fashion
TXN00000240,U000008,Recharge,2690.72,2025-11-12 17:08:37,Net Banking,Completed,26,Gas Agency,Fashion
TXN00000241,U000008,Card_Payment,3310.73,2025-09-17 17:08:37,Card,Completed,33,Gas Agency,Electronics
TXN00000242,U000008,UPI_Payment,452.05,2025-09-21 17:08:37,Card,Failed,0,Water Board,Fashion
