referral_id,referrer_user_id,referred_user_id,referral_code,signup_date,first_payment_completed,first_payment_date,referrer_reward_popcoins,referred_reward_popcoins,reward_credited,reward_credit_date,status
REF00000021,U000005,U000386,REFU000005,2025-09-25,True,2025-09-29,200,100,True,2025-09-30,Completed
REF00000022,U000005,U000416,REFU000005,2025-09-04,True,2025-09-06,200,100,True,2025-09-07,Completed
REF00000023,U000005,U000147,REFU000005,2025-11-21,False,,0,0,False,,Pending
REF00000024,U000006,U000439,REFU000006,2025-10-12,True,2025-10-14,200,100,True,2025-10-15,Completed
REF00000025,U000006,U000466,REFU000006,2025-10-20,False,,0,0,False,,Pending
REF00000026,U000006,U000281,REFU000006,2025-10-13,True,2025-10-17,200,100,True,2025-10-18,Completed
REF00000027,U000006,U000153,REFU000006,2025-10-26,False,,0,0,False,,Pending
REF00000028,U000006,U000391,REFU000006,2025-11-22,True,2025-11-24,200,100,True,2025-11-25,Completed
REF00000029,U000006,U000326,REFU000006,2025-11-27,True,2025-12-02,200,100,True,2025-12-03,Completed
REF00000030,U000006,U000179,REFU000006,2025-09-08,True,2025-09-09,200,100,True,2025-09-10,Completed
REF00000031,U000006,U000353,REFU000006,2025-11-04,False,,0,0,False,,Pending
REF00000032,U000006,U000212,REFU000006,2025-11-01,True,2025-11-05,200,100,True,2025-11-06,Completed
REF00000033,U000007,U000210,REFU000007,2025-11-14,True,2025-11-17,200,100,True,2025-11-18,Completed
REF00000034,U000007,U000224,REFU000007,2025-11-30,False,,0,0,False,,Pending
REF00000035,U000007,U000347,REFU000007,2025-10-07,True,2025-10-12,200,100,True,2025-10-13,Completed
REF00000036,U000007,U000382,REFU000007,2025-09-21,True,2025-09-25,200,100,True,2025-09-26,Completed
REF00000037,U000007,U000195,REFU000007,2025-09-27,False,,0,0,False,,Pending
REF00000038,U000007,U000304,REFU000007,2025-09-13,False,,0,0,False,,Pending
REF00000039,U000007,U000298,REFU000007,2025-10-30,False,,0,0,False,,Pending
REF00000040,U000007,U000286,REFU000007,2025-10-30,True,2025-11-02,200,100,True,2025-11-03,Completed
REF00000041,U000007,U000286,REFU000007,2025-11-02,True,2025-11-07,200,100,True,2025-11-08,Completed
REF00000042,U000007,U000282,REFU000007,2025-11-23,False,,0,0,False,,Pending
REF00000043,U000008,U000264,REFU000008,2025-09-04,True,2025-09-11,200,100,True,2025-09-12,Completed
REF00000044,U000008,U000375,REFU000008,2025-09-19,True,2025-09-20,200,100,True,2025-09-21,Completed
REF00000045,U000009,U000462,REFU000009,2025-10-03,False,,0,0,False,,Pending
REF00000046,U000009,U000260,REFU000009,2025-11-19,False,,0,0,False,,Pending
REF00000047,U000009,U000216,REFU000009,2025-10-19,False,,0,0,False,,Pending
REF00000048,U000009,U000459,REFU000009,2025-09-11,False,,0,0,False,,Pending
REF00000049,U000009,U000214,REFU000009,2025-10-04,True,2025-10-09,200,100,True,2025-10-10,Completed
REF00000050,U000009,U000127,REFU000009,2025-10-05,False,,0,0,False,,Pending
REF00000051,U000009,U000324,REFU000009,2025-09-30,False,,0,0,False,,Pending
REF00000052,U000009,U000323,REFU000009,2025-11-24,True,2025-11-25,200,100,True,2025-11-26,Completed
REF00000053,U000010,U000329,REFU000010,2025-09-22,False,,0,0,False,,Pending
REF00000054,U000010,U000129,REFU000010,2025-10-19,True,2025-10-26,200,100,True,2025-10-27,Completed
REF00000055,U000010,U000461,REFU000010,2025-11-14,True,2025-11-20,200,100,True,2025-11-21,Completed
REF00000056,U000010,U000281,REFU000010,2025-11-24,False,,0,0,False,,Pending
REF00000057,U000010,U000241,REFU000010,2025-09-21,True,2025-09-27,200,100,True,2025-09-28,Completed
REF00000058,U000010,U000114,REFU000010,2025-09-17,True,2025-09-21,200,100,True,2025-09-22,Completed
REF00000059,U000010,U000460,REFU000010,2025-11-15,True,2025-11-17,200,100,True,2025-11-18,Completed
REF00000060,U000010,U000438,REFU000010,2025-10-06,True,2025-10-11,200,100,True,2025-10-12,Completed
REF00000061,U000011,U000255,REFU000011,2025-10-21,True,2025-10-26,200,100,True,2025-10-27,Completed
REF00000062,U000011,U000360,REFU000011,2025-10-11,True,2025-10-18,200,100,True,2025-10-19,Completed
REF00000063,U000011,U000376,REFU000011,2025-09-06,False,,0,0,False,,Pending
REF00000064,U000011,U000261,REFU000011,2025-12-02,False,,0,0,False,,Pending
REF00000065,U000011,U000127,REFU000011,2025-10-18,False,,0,0,False,,Pending
REF00000066,U000011,U000161,REFU000011,2025-11-23,False,,0,0,False,,Pending
REF00000067,U000011,U000132,REFU000011,2025-09-26,True,2025-10-02,200,100,True,2025-10-03,Completed
REF00000068,U000011,U000182,REFU000011,2025-11-08,True,2025-11-13,200,100,True,2025-11-14,Completed
REF00000069,U000011,U000496,REFU000011,2025-11-10,True,2025-11-11,200,100,True,2025-11-12,Completed
REF00000070,U000011,U000432,REFU000011,2025-09-30,False,,0,0,False,,Pending
REF00000071,U000012,U000269,REFU000012,2025-11-21,True,2025-11-25,200,100,True,2025-11-26,Completed
REF00000072,U000013,U000458,REFU000013,2025-09-06,True,2025-09-13,200,100,True,2025-09-14,Completed
REF00000073,U000013,U000308,REFU000013,2025-10-15,False,,0,0,False,,Pending
REF00000074,U000013,U000342,REFU000013,2025-11-15,True,2025-11-17,200,100,True,2025-11-18,Completed
REF00000075,U000013,U000149,REFU000013,2025-10-24,True,2025-10-26,200,100,True,2025-10-27,Completed
REF00000076,U000013,U000462,REFU000013,2025-10-08,True,2025-10-12,200,100,True,2025-10-13,Completed
REF00000077,U000013,U000146,REFU000013,2025-11-09,True,2025-11-13,200,100,True,2025-11-14,Completed
REF00000078,U000013,U000202,REFU000013,2025-11-03,True,2025-11-09,200,100,True,2025-11-10,Completed
REF00000079,U000013,U000424,REFU000013,2025-11-22,True,2025-11-26,200,100,True,2025-11-27,Completed
REF00000080,U000013,U000484,REFU000013,2025-11-20,False,,0,0,False,,Pending
REF00000081,U000014,U000110,REFU000014,2025-09-16,True,2025-09-21,200,100,True,2025-09-22,Completed
REF00000082,U000014,U000130,REFU000014,2025-09-06,True,2025-09-07,200,100,True,2025-09-08,Completed
REF00000083,U000014,U000186,REFU000014,2025-12-02,False,,0,0,False,,Pending
REF00000084,U000014,U000106,REFU000014,2025-12-02,True,2025-12-06,200,100,True,2025-12-07,Completed
REF00000085,U000015,U000114,REFU000015,2025-09-21,False,,0,0,False,,Pending
REF00000086,U000015,U000291,REFU000015,2025-11-24,True,2025-11-26,200,100,True,2025-11-27,Completed
REF00000087,U000015,U000425,REFU000015,2025-09-14,True,2025-09-16,200,100,True,2025-09-17,Completed
REF00000088,U000015,U000374,REFU000015,2025-11-05,True,2025-11-06,200,100,True,2025-11-07,Completed
REF00000089,U000016,U000179,REFU000016,2025-09-17,True,2025-09-22,200,100,True,2025-09-23,Completed
REF00000090,U000016,U000190,REFU000016,2025-10-07,False,,0,0,False,,Pending
REF00000091,U000016,U000495,REFU000016,2025-11-10,False,,0,0,False,,Pending
REF00000092,U000016,U000176,REFU000016,2025-10-07,True,2025-10-12,200,100,True,2025-10-13,Completed
REF00000093,U000016,U000119,REFU000016,2025-09-25,True,2025-10-02,200,100,True,2025-10-03,Completed
REF00000094,U000016,U000259,REFU000016,2025-10-26,True,2025-10-29,200,100,True,2025-10-30,Completed
REF00000095,U000016,U000449,REFU000016,2025-11-09,False,,0,0,False,,Pending
REF00000096,U000016,U000365,REFU000016,2025-11-11,True,2025-11-15,200,100,True,2025-11-16,Completed
REF00000097,U000016,U000198,REFU000016,2025-09-16,True,2025-09-21,200,100,True,2025-09-22,Completed
REF00000098,U000016,U000272,REFU000016,2025-10-05,False,,0,0,False,,Pending
REF00000099,U000017,U000299,REFU000017,2025-10-06,True,2025-10-12,200,100,True,2025-10-13,Completed
REF00000100,U000017,U000383,REFU000017,2025-11-24,True,2025-11-26,200,100,True,2025-11-27,Completed
REF00000101,U000017,U000287,REFU000017,2025-11-14,True,2025-11-21,200,100,True,2025-11-22,Completed
REF00000102,U000017,U000351,REFU000017,2025-11-08,True,2025-11-09,200,100,True,2025-11-10,Completed
REF00000103,U000017,U000283,REFU000017,2025-11-25,True,2025-12-02,200,100,True,2025-12-03,Completed
REF00000104,U000017,U000437,REFU000017,2025-09-18,True,2025-09-25,200,100,True,2025-09-26,Completed
REF00000105,U000017,U000366,REFU000017,2025-11-21,False,,0,0,False,,Pending
REF00000106,U000017,U000435,REFU000017,2025-10-22,False,,0,0,False,,Pending
REF00000107,U000018,U000394,REFU000018,2025-09-04,False,,0,0,False,,Pending
REF00000108,U000018,U000367,REFU000018,2025-10-13,False,,0,0,False,,Pending
REF00000109,U000018,U000429,REFU000018,2025-11-07,True,2025-11-10,200,100,True,2025-11-11,Completed
REF00000110,U000018,U000169,REFU000018,2025-10-06,True,2025-10-09,200,100,True,2025-10-10,Completed
REF00000111,U000018,U000420,REFU000018,2025-10-09,True,2025-10-13,200,100,True,2025-10-14,Completed
REF00000112,U000018,U000293,REFU000018,2025-11-22,True,2025-11-23,200,100,True,2025-11-24,Completed
REF00000113,U000018,U000351,REFU000018,2025-11-19,True,2025-11-24,200,100,True,2025-11-25,Completed
REF00000114,U000018,U000347,REFU000018,2025-09-15,True,2025-09-18,200,100,True,2025-09-19,Completed
REF00000115,U000018,U000354,REFU000018,2025-10-27,False,,0,0,False,,Pending
REF00000116,U000020,U000121,REFU000020,2025-11-08,True,2025-11-11,200,100,True,2025-11-12,Completed
REF00000117,U000020,U000400,REFU000020,2025-09-20,False,,0,0,False,,Pending
REF00000118,U000020,U000188,REFU000020,2025-09-11,True,2025-09-17,200,100,True,2025-09-18,Completed
REF00000119,U000020,U000124,REFU000020,2025-09-25,True,2025-09-26,200,100,True,2025-09-27,Completed
REF00000120,U000020,U000255,REFU000020,2025-10-14,True,2025-10-17,200,100,True,2025-10-18,Completed
REF00000121,U000020,U000375,REFU000020,2025-11-26,False,,0,0,False,,Pending
REF00000122,U000020,U000322,REFU000020,2025-09-28,False,,0,0,False,,Pending
REF00000123,U000020,U000191,REFU000020,2025-09-28,True,2025-10-04,200,100,True,2025-10-05,Completed
