order_id,user_id,order_date,num_items,total_amount,popcoins_used,payment_method,order_status,delivery_date,items
ORD00000011,U000001,2025-10-04 17:09:09,3,5356.0,486,Card,Delivered,2025-12-06,"[{""product_id"": 949038, ""title"": ""Timeless Glass Designs For Every Occasion, 300 Ml, Capacity, Pack Of 9, Size: 14 X 7.5 X 7.5 Cm"", ""quantity"": 1, ""price"": 2408.0, ""popcoins_used"": 241}, {""product_id"": 950140, ""title"": ""Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm"", ""quantity"": 1, ""price"": 2448.0, ""popcoins_used"": 245}, {""product_id"": 787062, ""title"": ""Womens Boxy Regular Embroidery Crew Neck Tshirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}]"
ORD00000012,U000001,2025-10-04 17:09:09,2,2908.0,241,UPI,In Transit,2025-12-07,"[{""product_id"": 496872, ""title"": ""Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 949038, ""title"": ""Timeless Glass Designs For Every Occasion, 300 Ml, Capacity, Pack Of 9, Size: 14 X 7.5 X 7.5 Cm"", ""quantity"": 1, ""price"": 2408.0, ""popcoins_used"": 241}]"
ORD00000013,U000001,2025-11-25 17:09:09,2,1795.0,130,UPI,In Transit,2025-12-09,"[{""product_id"": 428848, ""title"": ""Men's Pink Heathered Korean Oversized Shirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 949012, ""title"": ""Timeless Glass Designs For Every Occasion, 350 Ml, Capacity, Pack Of 6, Size: 12 X 7 X 7 Cm"", ""quantity"": 1, ""price"": 1295.0, ""popcoins_used"": 130}]"
ORD00000014,U000001,2025-11-21 17:09:09,2,859.0,36,Net Banking,In Transit,2025-12-06,"[{""product_id"": 612530, ""title"": ""Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks"", ""quantity"": 1, ""price"": 359.0, ""popcoins_used"": 36}, {""product_id"": 1038399, ""title"": ""Women's Yellow Rayon Blend Bandhani Embroidered Anarkali Kurta Trouser With Dupatta"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}]"
ORD00000015,U000001,2025-09-15 17:09:09,1,500.0,0,Card,Processing,2025-12-05,"[{""product_id"": 134466, ""title"": ""Organic Cotton Stretch Chino In Slate Grey- Slim Fit"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}]"
ORD00000016,U000002,2025-10-20 17:09:09,3,6221.0,572,Net Banking,Delivered,2025-12-05,"[{""product_id"": 950618, ""title"": ""Beautiful Wine Glasses For Memorable Moments, 150 Ml, Capacity, Pack Of 12, Size: 16.5 X 8 X 8 Cm"", ""quantity"": 1, ""price"": 3273.0, ""popcoins_used"": 327}, {""product_id"": 949854, ""title"": ""Timeless Glass Designs For Every Occasion, 270 Ml, Capacity, Pack Of 12, Size: 7 X 7 X 10 Cm"", ""quantity"": 1, ""price"": 2448.0, ""popcoins_used"": 245}, {""product_id"": 717137, ""title"": ""Grey Colorblocked Gym Vest For Men"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}]"
ORD00000017,U000002,2025-10-10 17:09:09,3,6397.0,1210,Net Banking,Processing,2025-12-06,"[{""product_id"": 792468, ""title"": ""Auto Sight Wi-fi Dash Camera - Grey"", ""quantity"": 1, ""price"": 4999.0, ""popcoins_used"": 1000}, {""product_id"": 1053640, ""title"": ""Bring Your Own Mug Illustration Printed Ceramic Coffee Mug 350 Ml, White 9.5 X 7.5 X 1 Cm"", ""quantity"": 1, ""price"": 699.0, ""popcoins_used"": 70}, {""product_id"": 1053733, ""title"": ""I Love You Dad Design Mug 9.5 X 7.5 X 1 Cm"", ""quantity"": 1, ""price"": 699.0, ""popcoins_used"": 140}]"
ORD00000018,U000002,2025-11-01 17:09:09,3,6244.0,625,Net Banking,Processing,2025-12-09,"[{""product_id"": 950140, ""title"": ""Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm"", ""quantity"": 1, ""price"": 2448.0, ""popcoins_used"": 245}, {""product_id"": 1044302, ""title"": ""Eau De Parfum - Eclipse, 100ml"", ""quantity"": 1, ""price"": 1299.0, ""popcoins_used"": 130}, {""product_id"": 899607, ""title"": ""Cool Glass Ash Tray: Sleek Design For Ashes With Style 13 X 13 X 3.5 Cm, Pack Of 4"", ""quantity"": 1, ""price"": 2497.0, ""popcoins_used"": 250}]"
ORD00000019,U000002,2025-11-14 17:09:09,2,6263.0,576,UPI,Processing,2025-12-05,"[{""product_id"": 134472, ""title"": ""Organic Cotton Stretch Chino In Beige- Slim Fit"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 949860, ""title"": ""Celebrate Special Times With Party Perfect Whisky Glasses! Cheers To Fun Moments, Clear, Capacity - 250 Ml, Pack Of 11, Size - 8.5 X 8.5 X 9.5 Cm"", ""quantity"": 1, ""price"": 5763.0, ""popcoins_used"": 576}]"
ORD00000020,U000003,2025-11-20 17:09:09,2,6263.0,576,UPI,Processing,2025-12-08,"[{""product_id"": 787062, ""title"": ""Womens Boxy Regular Embroidery Crew Neck Tshirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 949860, ""title"": ""Celebrate Special Times With Party Perfect Whisky Glasses! Cheers To Fun Moments, Clear, Capacity - 250 Ml, Pack Of 11, Size - 8.5 X 8.5 X 9.5 Cm"", ""quantity"": 1, ""price"": 5763.0, ""popcoins_used"": 576}]"
ORD00000021,U000003,2025-09-19 17:09:09,4,8261.0,846,Net Banking,In Transit,2025-12-10,"[{""product_id"": 818766, ""title"": ""Women's Blue Don't Talk To Me Graphic Printed Relaxed Fit T-shirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 949860, ""title"": ""Celebrate Special Times With Party Perfect Whisky Glasses! Cheers To Fun Moments, Clear, Capacity - 250 Ml, Pack Of 11, Size - 8.5 X 8.5 X 9.5 Cm"", ""quantity"": 1, ""price"": 5763.0, ""popcoins_used"": 576}, {""product_id"": 1044302, ""title"": ""Eau De Parfum - Eclipse, 100ml"", ""quantity"": 1, ""price"": 1299.0, ""popcoins_used"": 130}, {""product_id"": 1053733, ""title"": ""I Love You Dad Design Mug 9.5 X 7.5 X 1 Cm"", ""quantity"": 1, ""price"": 699.0, ""popcoins_used"": 140}]"
ORD00000022,U000003,2025-11-04 17:09:09,4,2505.0,396,UPI,Delivered,2025-12-10,"[{""product_id"": 612530, ""title"": ""Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks"", ""quantity"": 1, ""price"": 359.0, ""popcoins_used"": 36}, {""product_id"": 496872, ""title"": ""Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 41030, ""title"": ""Roasted & Lightly Salted California Pistachio - 250gm"", ""quantity"": 1, ""price"": 347.0, ""popcoins_used"": 35}, {""product_id"": 1053248, ""title"": ""Unisex Off White Captain America Embroidered Baseball Cap"", ""quantity"": 1, ""price"": 1299.0, ""popcoins_used"": 325}]"
ORD00000023,U000003,2025-10-04 17:09:09,2,1000.0,0,UPI,In Transit,2025-12-04,"[{""product_id"": 428848, ""title"": ""Men's Pink Heathered Korean Oversized Shirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 496872, ""title"": ""Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}]"
ORD00000024,U000003,2025-09-29 17:09:09,1,500.0,0,Card,In Transit,2025-12-09,"[{""product_id"": 428848, ""title"": ""Men's Pink Heathered Korean Oversized Shirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}]"
ORD00000025,U000003,2025-11-18 17:09:09,4,9206.0,1371,UPI,Processing,2025-12-07,"[{""product_id"": 818766, ""title"": ""Women's Blue Don't Talk To Me Graphic Printed Relaxed Fit T-shirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 792468, ""title"": ""Auto Sight Wi-fi Dash Camera - Grey"", ""quantity"": 1, ""price"": 4999.0, ""popcoins_used"": 1000}, {""product_id"": 949038, ""title"": ""Timeless Glass Designs For Every Occasion, 300 Ml, Capacity, Pack Of 9, Size: 14 X 7.5 X 7.5 Cm"", ""quantity"": 1, ""price"": 2408.0, ""popcoins_used"": 241}, {""product_id"": 1044302, ""title"": ""Eau De Parfum - Eclipse, 100ml"", ""quantity"": 1, ""price"": 1299.0, ""popcoins_used"": 130}]"
ORD00000026,U000003,2025-10-19 17:09:09,4,5591.0,510,Card,Processing,2025-12-06,"[{""product_id"": 1044302, ""title"": ""Eau De Parfum - Eclipse, 100ml"", ""quantity"": 1, ""price"": 1299.0, ""popcoins_used"": 130}, {""product_id"": 899607, ""title"": ""Cool Glass Ash Tray: Sleek Design For Ashes With Style 13 X 13 X 3.5 Cm, Pack Of 4"", ""quantity"": 1, ""price"": 2497.0, ""popcoins_used"": 250}, {""product_id"": 1038399, ""title"": ""Women's Yellow Rayon Blend Bandhani Embroidered Anarkali Kurta Trouser With Dupatta"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 949012, ""title"": ""Timeless Glass Designs For Every Occasion, 350 Ml, Capacity, Pack Of 6, Size: 12 X 7 X 7 Cm"", ""quantity"": 1, ""price"": 1295.0, ""popcoins_used"": 130}]"
ORD00000027,U000004,2025-11-06 17:09:09,1,2448.0,245,UPI,Processing,2025-12-10,"[{""product_id"": 950140, ""title"": ""Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm"", ""quantity"": 1, ""price"": 2448.0, ""popcoins_used"": 245}]"
ORD00000028,U000004,2025-10-09 17:09:09,3,1699.0,70,Net Banking,In Transit,2025-12-07,"[{""product_id"": 1038399, ""title"": ""Women's Yellow Rayon Blend Bandhani Embroidered Anarkali Kurta Trouser With Dupatta"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 428848, ""title"": ""Men's Pink Heathered Korean Oversized Shirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 1053640, ""title"": ""Bring Your Own Mug Illustration Printed Ceramic Coffee Mug 350 Ml, White 9.5 X 7.5 X 1 Cm"", ""quantity"": 1, ""price"": 699.0, ""popcoins_used"": 70}]"
ORD00000029,U000004,2025-10-09 17:09:09,3,3447.0,345,Net Banking,In Transit,2025-12-05,"[{""product_id"": 1012775, ""title"": ""Lifestyle Shri Shivay Namastubhayam Wall Hanging For Home Decoration Wall Decor Items (multicolor )"", ""quantity"": 1, ""price"": 499.0, ""popcoins_used"": 100}, {""product_id"": 243944, ""title"": ""Men Originals White Block Collar Neck Printed T-shirts"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 949854, ""title"": ""Timeless Glass Designs For Every Occasion, 270 Ml, Capacity, Pack Of 12, Size: 7 X 7 X 10 Cm"", ""quantity"": 1, ""price"": 2448.0, ""popcoins_used"": 245}]"
ORD00000030,U000004,2025-10-18 17:09:09,1,699.0,140,Card,Processing,2025-12-06,"[{""product_id"": 1053733, ""title"": ""I Love You Dad Design Mug 9.5 X 7.5 X 1 Cm"", ""quantity"": 1, ""price"": 699.0, ""popcoins_used"": 140}]"
ORD00000031,U000004,2025-10-16 17:09:09,4,5614.0,562,Card,Delivered,2025-12-09,"[{""product_id"": 612530, ""title"": ""Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks"", ""quantity"": 1, ""price"": 359.0, ""popcoins_used"": 36}, {""product_id"": 950140, ""title"": ""Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm"", ""quantity"": 1, ""price"": 2448.0, ""popcoins_used"": 245}, {""product_id"": 949854, ""title"": ""Timeless Glass Designs For Every Occasion, 270 Ml, Capacity, Pack Of 12, Size: 7 X 7 X 10 Cm"", ""quantity"": 1, ""price"": 2448.0, ""popcoins_used"": 245}, {""product_id"": 612530, ""title"": ""Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks"", ""quantity"": 1, ""price"": 359.0, ""popcoins_used"": 36}]"
ORD00000032,U000004,2025-10-08 17:09:09,1,359.0,36,Card,Processing,2025-12-05,"[{""product_id"": 612530, ""title"": ""Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks"", ""quantity"": 1, ""price"": 359.0, ""popcoins_used"": 36}]"
ORD00000033,U000004,2025-10-25 17:09:09,1,5763.0,576,Card,Delivered,2025-12-06,"[{""product_id"": 949860, ""title"": ""Celebrate Special Times With Party Perfect Whisky Glasses! Cheers To Fun Moments, Clear, Capacity - 250 Ml, Pack Of 11, Size - 8.5 X 8.5 X 9.5 Cm"", ""quantity"": 1, ""price"": 5763.0, ""popcoins_used"": 576}]"
ORD00000034,U000004,2025-10-30 17:09:09,3,5203.0,521,UPI,Processing,2025-12-06,"[{""product_id"": 949038, ""title"": ""Timeless Glass Designs For Every Occasion, 300 Ml, Capacity, Pack Of 9, Size: 14 X 7.5 X 7.5 Cm"", ""quantity"": 1, ""price"": 2408.0, ""popcoins_used"": 241}, {""product_id"": 41030, ""title"": ""Roasted & Lightly Salted California Pistachio - 250gm"", ""quantity"": 1, ""price"": 347.0, ""popcoins_used"": 35}, {""product_id"": 950140, ""title"": ""Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm"", ""quantity"": 1, ""price"": 2448.0, ""popcoins_used"": 245}]"
ORD00000035,U000004,2025-11-01 17:09:09,4,3997.0,250,Card,Processing,2025-12-04,"[{""product_id"": 899607, ""title"": ""Cool Glass Ash Tray: Sleek Design For Ashes With Style 13 X 13 X 3.5 Cm, Pack Of 4"", ""quantity"": 1, ""price"": 2497.0, ""popcoins_used"": 250}, {""product_id"": 134466, ""title"": ""Organic Cotton Stretch Chino In Slate Grey- Slim Fit"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 1038399, ""title"": ""Women's Yellow Rayon Blend Bandhani Embroidered Anarkali Kurta Trouser With Dupatta"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 1038399, ""title"": ""Women's Yellow Rayon Blend Bandhani Embroidered Anarkali Kurta Trouser With Dupatta"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}]"
ORD00000036,U000004,2025-10-04 17:09:09,1,699.0,140,Net Banking,Processing,2025-12-07,"[{""product_id"": 1053733, ""title"": ""I Love You Dad Design Mug 9.5 X 7.5 X 1 Cm"", ""quantity"": 1, ""price"": 699.0, ""popcoins_used"": 140}]"
ORD00000037,U000004,2025-09-12 17:09:09,4,2994.0,270,Net Banking,Delivered,2025-12-04,"[{""product_id"": 496872, ""title"": ""Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 949012, ""title"": ""Timeless Glass Designs For Every Occasion, 350 Ml, Capacity, Pack Of 6, Size: 12 X 7 X 7 Cm"", ""quantity"": 1, ""price"": 1295.0, ""popcoins_used"": 130}, {""product_id"": 1040453, ""title"": ""Men Anya Forger Blue Oversized Graphic T-shirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 1053733, ""title"": ""I Love You Dad Design Mug 9.5 X 7.5 X 1 Cm"", ""quantity"": 1, ""price"": 699.0, ""popcoins_used"": 140}]"
ORD00000038,U000005,2025-11-14 17:09:09,1,2448.0,245,Net Banking,Processing,2025-12-05,"[{""product_id"": 950140, ""title"": ""Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm"", ""quantity"": 1, ""price"": 2448.0, ""popcoins_used"": 245}]"
ORD00000039,U000005,2025-11-18 17:09:09,2,1032.0,53,UPI,In Transit,2025-12-09,"[{""product_id"": 134472, ""title"": ""Organic Cotton Stretch Chino In Beige- Slim Fit"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 899608, ""title"": ""Cool Glass Ash Tray: Sleek Design For Ashes With Style 10.5 X 10.5 X 3.5 Cm"", ""quantity"": 1, ""price"": 532.0, ""popcoins_used"": 53}]"
ORD00000040,U000005,2025-11-21 17:09:09,1,500.0,0,Net Banking,In Transit,2025-12-10,"[{""product_id"": 818766, ""title"": ""Women's Blue Don't Talk To Me Graphic Printed Relaxed Fit T-shirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}]"
ORD00000041,U000005,2025-12-01 17:09:09,2,5721.0,572,Card,Processing,2025-12-10,"[{""product_id"": 950618, ""title"": ""Beautiful Wine Glasses For Memorable Moments, 150 Ml, Capacity, Pack Of 12, Size: 16.5 X 8 X 8 Cm"", ""quantity"": 1, ""price"": 3273.0, ""popcoins_used"": 327}, {""product_id"": 950140, ""title"": ""Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm"", ""quantity"": 1, ""price"": 2448.0, ""popcoins_used"": 245}]"
ORD00000042,U000005,2025-10-18 17:09:09,3,6763.0,576,Net Banking,Delivered,2025-12-09,"[{""product_id"": 1038399, ""title"": ""Women's Yellow Rayon Blend Bandhani Embroidered Anarkali Kurta Trouser With Dupatta"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 496872, ""title"": ""Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 949860, ""title"": ""Celebrate Special Times With Party Perfect Whisky Glasses! Cheers To Fun Moments, Clear, Capacity - 250 Ml, Pack Of 11, Size - 8.5 X 8.5 X 9.5 Cm"", ""quantity"": 1, ""price"": 5763.0, ""popcoins_used"": 576}]"
ORD00000043,U000005,2025-11-26 17:09:09,4,2229.0,323,UPI,Delivered,2025-12-10,"[{""product_id"": 899608, ""title"": ""Cool Glass Ash Tray: Sleek Design For Ashes With Style 10.5 X 10.5 X 3.5 Cm"", ""quantity"": 1, ""price"": 532.0, ""popcoins_used"": 53}, {""product_id"": 1053640, ""title"": ""Bring Your Own Mug Illustration Printed Ceramic Coffee Mug 350 Ml, White 9.5 X 7.5 X 1 Cm"", ""quantity"": 1, ""price"": 699.0, ""popcoins_used"": 70}, {""product_id"": 1012775, ""title"": ""Lifestyle Shri Shivay Namastubhayam Wall Hanging For Home Decoration Wall Decor Items (multicolor )"", ""quantity"": 1, ""price"": 499.0, ""popcoins_used"": 100}, {""product_id"": 1012775, ""title"": ""Lifestyle Shri Shivay Namastubhayam Wall Hanging For Home Decoration Wall Decor Items (multicolor )"", ""quantity"": 1, ""price"": 499.0, ""popcoins_used"": 100}]"
ORD00000044,U000005,2025-11-23 17:09:09,2,1000.0,0,UPI,In Transit,2025-12-04,"[{""product_id"": 1040453, ""title"": ""Men Anya Forger Blue Oversized Graphic T-shirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}, {""product_id"": 787062, ""title"": ""Womens Boxy Regular Embroidery Crew Neck Tshirt"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}]"
ORD00000045,U000005,2025-09-30 17:09:09,3,3307.0,281,Card,Delivered,2025-12-09,"[{""product_id"": 950140, ""title"": ""Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm"", ""quantity"": 1, ""price"": 2448.0, ""popcoins_used"": 245}, {""product_id"": 612530, ""title"": ""Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks"", ""quantity"": 1, ""price"": 359.0, ""popcoins_used"": 36}, {""product_id"": 1038399, ""title"": ""Women's Yellow Rayon Blend Bandhani Embroidered Anarkali Kurta Trouser With Dupatta"", ""quantity"": 1, ""price"": 500.0, ""popcoins_used"": 0}]"
ORD00000046,U000006,2025-10-29 17:09:09,1,4999.0,1000,Net Banking,In Transit,2025-12-04,"[{""product_id"": 792468, ""title"": ""Auto Sight Wi-fi Dash Camera - Grey"", ""quantity"": 1, ""price"": 4999.0, ""popcoins_used"": 1000}]"
