browse_id,user_id,product_id,category,brand,viewed_at,time_spent_seconds,added_to_cart,source
BRW00000021,U000001,949854,Bar Necessities,Afast,2025-11-22 10:43:08,297,False,Trending
BRW00000022,U000001,717137,Innerwear,TRIPR,2025-11-27 18:22:08,209,False,Recommendation
BRW00000023,U000001,787062,Tees,DILLINGER,2025-12-01 03:29:08,132,False,Category Browse
BRW00000024,U000001,950618,Bar Necessities,Afast,2025-11-09 23:18:08,147,False,Recommendation
BRW00000025,U000001,1053733,Dinnerware,Ethnic Darzi,2025-12-01 12:01:08,158,True,Trending
BRW00000026,U000001,950140,Bar Necessities,Afast,2025-11-19 08:25:08,261,True,Category Browse
BRW00000027,U000001,41030,Snack Time,Ambrosia,2025-11-29 15:35:08,21,True,Search
BRW00000028,U000001,792468,Security,Gizmore,2025-11-25 12:24:08,234,True,Recommendation
BRW00000029,U000001,134472,Trousers,SUBTRACT,2025-11-29 16:38:08,121,False,Trending
BRW00000030,U000001,792468,Security,Gizmore,2025-11-08 01:46:08,247,True,Category Browse
BRW00000031,U000001,134472,Trousers,SUBTRACT,2025-11-07 13:06:08,146,False,Search
BRW00000032,U000001,949854,Bar Necessities,Afast,2025-11-18 11:57:08,138,False,Search
BRW00000033,U000001,243944,Polos,The Souled Store,2025-11-08 18:54:08,207,False,Recommendation
BRW00000034,U000001,1040453,Oversized Tees,Crazymonk,2025-12-02 10:40:08,58,True,Trending
BRW00000035,U000001,899607,Serveware,Afast,2025-11-12 07:10:08,175,True,Search
BRW00000036,U000001,1040453,Oversized Tees,Crazymonk,2025-11-03 23:36:08,72,False,Trending
BRW00000037,U000001,950618,Bar Necessities,Afast,2025-11-24 10:46:08,36,True,Search
BRW00000038,U000001,717137,Innerwear,TRIPR,2025-11-13 03:49:08,17,True,Category Browse
BRW00000039,U000001,949860,Bar Necessities,Afast,2025-11-30 04:19:08,134,True,Search
BRW00000040,U000001,949860,Bar Necessities,Afast,2025-11-07 18:39:08,89,False,Search
BRW00000041,U000001,717137,Innerwear,TRIPR,2025-11-28 02:04:08,183,True,Search
BRW00000042,U000001,896118,Co-ord Sets,TRIPR,2025-11-13 12:25:08,284,True,Recommendation
BRW00000043,U000001,949012,Bar Necessities,Afast,2025-11-26 06:34:08,187,False,Recommendation
BRW00000044,U000001,41030,Snack Time,Ambrosia,2025-11-11 04:47:08,78,False,Search
BRW00000045,U000001,949012,Bar Necessities,Afast,2025-11-11 02:34:08,160,False,Recommendation
BRW00000046,U000002,949854,Bar Necessities,Afast,2025-11-22 06:23:08,249,False,AI Suggestion
BRW00000047,U000002,1053733,Dinnerware,Ethnic Darzi,2025-11-16 12:05:08,281,True,Trending
BRW00000048,U000002,792468,Security,Gizmore,2025-11-07 08:35:08,197,False,Search
BRW00000049,U000002,1044302,Luxe Perfumes,Aris,2025-11-13 00:45:08,104,True,AI Suggestion
BRW00000050,U000002,1053733,Dinnerware,Ethnic Darzi,2025-11-21 21:54:08,174,True,AI Suggestion
BRW00000051,U000002,1053640,Dinnerware,Ethnic Darzi,2025-11-21 10:36:08,264,True,AI Suggestion
BRW00000052,U000002,792468,Security,Gizmore,2025-11-23 03:28:08,174,True,Search
BRW00000053,U000002,949038,Bar Necessities,Afast,2025-11-12 15:07:08,76,True,Search
BRW00000054,U000002,612530,Diffusers,Global Aroma,2025-11-30 01:57:08,60,True,AI Suggestion
BRW00000055,U000002,950618,Bar Necessities,Afast,2025-11-07 04:27:08,260,False,Search
BRW00000056,U000002,896118,Co-ord Sets,TRIPR,2025-11-25 21:24:08,46,True,Recommendation
BRW00000057,U000002,950618,Bar Necessities,Afast,2025-11-18 14:40:08,41,False,AI Suggestion
BRW00000058,U000002,1040453,Oversized Tees,Crazymonk,2025-11-03 03:17:08,198,True,AI Suggestion
BRW00000059,U000002,787062,Tees,DILLINGER,2025-11-17 15:23:08,46,False,Search
BRW00000060,U000002,612530,Diffusers,Global Aroma,2025-11-03 01:03:08,61,True,AI Suggestion
BRW00000061,U000002,899607,Serveware,Afast,2025-11-27 10:36:08,137,True,AI Suggestion
BRW00000062,U000002,1040453,Oversized Tees,Crazymonk,2025-11-16 03:22:08,64,False,Trending
BRW00000063,U000002,1038399,The Perfect Sets,AHIKA,2025-11-12 03:13:08,63,True,Recommendation
BRW00000064,U000002,949854,Bar Necessities,Afast,2025-11-21 00:48:08,90,False,Category Browse
BRW00000065,U000002,818766,Graphic Tees,Bewakoof,2025-11-16 06:15:08,200,False,Trending
BRW00000066,U000002,1053640,Dinnerware,Ethnic Darzi,2025-11-10 06:31:08,133,True,Trending
BRW00000067,U000002,1044302,Luxe Perfumes,Aris,2025-11-15 17:53:08,194,False,Trending
BRW00000068,U000002,899607,Serveware,Afast,2025-12-02 18:07:08,155,True,AI Suggestion
BRW00000069,U000002,428848,Casuals,Campus Sutra,2025-11-05 08:09:08,163,True,Recommendation
BRW00000070,U000002,1053733,Dinnerware,Ethnic Darzi,2025-11-23 16:20:08,151,True,Search
BRW00000071,U000002,134466,Trousers,SUBTRACT,2025-11-19 06:00:08,80,False,Category Browse
BRW00000072,U000002,949860,Bar Necessities,Afast,2025-11-26 09:53:08,163,True,AI Suggestion
BRW00000073,U000002,899607,Serveware,Afast,2025-11-15 10:23:08,49,False,Trending
BRW00000074,U000002,496872,Oversized Tees,BULLMER,2025-11-17 18:25:08,58,False,Search
BRW00000075,U000002,1040453,Oversized Tees,Crazymonk,2025-11-07 22:45:08,50,True,Category Browse
BRW00000076,U000002,896118,Co-ord Sets,TRIPR,2025-11-05 03:43:08,71,True,AI Suggestion
BRW00000077,U000002,41030,Snack Time,Ambrosia,2025-11-12 20:45:08,37,False,AI Suggestion
BRW00000078,U000002,134466,Trousers,SUBTRACT,2025-11-22 23:33:08,86,False,AI Suggestion
BRW00000079,U000002,1038399,The Perfect Sets,AHIKA,2025-11-26 13:06:08,211,False,AI Suggestion
BRW00000080,U000002,949860,Bar Necessities,Afast,2025-11-17 14:55:08,231,False,Trending
BRW00000081,U000002,428848,Casuals,Campus Sutra,2025-11-29 07:04:08,253,True,AI Suggestion
BRW00000082,U000002,899607,Serveware,Afast,2025-11-25 14:44:08,266,False,Recommendation
BRW00000083,U000002,1044302,Luxe Perfumes,Aris,2025-11-29 01:34:08,111,False,Trending
BRW00000084,U000002,950618,Bar Necessities,Afast,2025-11-15 10:34:08,278,True,Recommendation
BRW00000085,U000002,134472,Trousers,SUBTRACT,2025-11-25 03:49:08,55,True,Trending
BRW00000086,U000002,899608,Serveware,Afast,2025-11-22 05:57:08,174,False,AI Suggestion
BRW00000087,U000002,950618,Bar Necessities,Afast,2025-12-03 07:59:08,189,False,AI Suggestion
BRW00000088,U000002,428848,Casuals,Campus Sutra,2025-11-19 15:10:08,129,True,Category Browse
BRW00000089,U000002,428848,Casuals,Campus Sutra,2025-11-08 17:15:08,53,True,Search
BRW00000090,U000002,717137,Innerwear,TRIPR,2025-11-02 21:10:08,85,False,Search
BRW00000091,U000002,818766,Graphic Tees,Bewakoof,2025-11-11 13:50:08,240,False,Search
BRW00000092,U000002,818766,Graphic Tees,Bewakoof,2025-11-26 17:35:08,118,True,AI Suggestion
BRW00000093,U000002,949038,Bar Necessities,Afast,2025-11-09 08:34:08,257,True,Search
BRW00000094,U000002,899607,Serveware,Afast,2025-11-14 19:36:08,32,False,Recommendation
BRW00000095,U000002,134466,Trousers,SUBTRACT,2025-11-24 10:19:08,148,True,Trending
BRW00000096,U000002,950618,Bar Necessities,Afast,2025-11-03 17:05:08,208,False,Category Browse
BRW00000097,U000002,1053733,Dinnerware,Ethnic Darzi,2025-11-30 16:51:08,207,True,Trending
BRW00000098,U000002,949038,Bar Necessities,Afast,2025-11-11 13:12:08,171,False,AI Suggestion
BRW00000099,U000003,134472,Trousers,SUBTRACT,2025-11-28 10:37:08,244,True,Search
BRW00000100,U000003,717137,Innerwear,TRIPR,2025-11-04 00:50:08,180,False,Trending
BRW00000101,U000003,1040453,Oversized Tees,Crazymonk,2025-11-28 16:47:08,190,False,Category Browse
BRW00000102,U000003,717137,Innerwear,TRIPR,2025-11-17 08:18:08,41,False,Trending
BRW00000103,U000003,1053640,Dinnerware,Ethnic Darzi,2025-12-02 23:52:08,125,True,Category Browse
BRW00000104,U000003,899607,Serveware,Afast,2025-11-12 13:04:08,205,True,Trending
BRW00000105,U000003,717137,Innerwear,TRIPR,2025-11-15 12:42:08,169,False,Trending
BRW00000106,U000003,949854,Bar Necessities,Afast,2025-11-29 10:28:08,80,True,Recommendation
BRW00000107,U000003,792468,Security,Gizmore,2025-11-10 18:12:08,278,True,Trending
BRW00000108,U000003,1044302,Luxe Perfumes,Aris,2025-11-28 20:10:08,299,True,Category Browse
BRW00000109,U000003,134472,Trousers,SUBTRACT,2025-11-15 23:23:08,70,True,Category Browse
BRW00000110,U000003,1053640,Dinnerware,Ethnic Darzi,2025-11-05 12:23:08,25,False,Trending
BRW00000111,U000003,899608,Serveware,Afast,2025-11-24 02:22:08,150,True,Recommendation
BRW00000112,U000003,243944,Polos,The Souled Store,2025-11-29 12:08:08,146,True,AI Suggestion
BRW00000113,U000003,717137,Innerwear,TRIPR,2025-11-25 20:08:08,193,True,Trending
BRW00000114,U000003,428848,Casuals,Campus Sutra,2025-11-16 21:39:08,201,True,Trending
BRW00000115,U000003,949012,Bar Necessities,Afast,2025-11-18 12:59:08,108,True,Search
BRW00000116,U000003,899608,Serveware,Afast,2025-11-09 16:10:08,148,False,Recommendation
BRW00000117,U000003,1040453,Oversized Tees,Crazymonk,2025-11-12 10:21:08,114,True,Recommendation
BRW00000118,U000003,948892,Bar Necessities,Afast,2025-11-05 21:38:08,176,False,Recommendation
BRW00000119,U000003,899608,Serveware,Afast,2025-11-21 15:31:08,204,False,Trending
BRW00000120,U000003,950140,Bar Necessities,Afast,2025-11-02 17:33:08,284,True,AI Suggestion
BRW00000121,U000003,243944,Polos,The Souled Store,2025-11-19 02:17:08,31,True,AI Suggestion
BRW00000122,U000003,949854,Bar Necessities,Afast,2025-11-20 18:07:08,295,False,AI Suggestion
BRW00000123,U000003,1044302,Luxe Perfumes,Aris,2025-11-13 15:57:08,159,False,Trending
BRW00000124,U000003,792468,Security,Gizmore,2025-11-09 07:40:08,95,False,Category Browse
BRW00000125,U000003,950140,Bar Necessities,Afast,2025-11-04 15:25:08,274,True,Trending
BRW00000126,U000003,1053640,Dinnerware,Ethnic Darzi,2025-11-13 03:04:08,266,True,Recommendation
BRW00000127,U000003,1044302,Luxe Perfumes,Aris,2025-11-14 18:35:08,79,False,Trending
BRW00000128,U000003,818766,Graphic Tees,Bewakoof,2025-11-19 16:58:08,242,True,Trending
BRW00000129,U000003,134472,Trousers,SUBTRACT,2025-11-25 06:25:08,93,True,Search
BRW00000130,U000003,243944,Polos,The Souled Store,2025-11-11 02:29:08,195,True,AI Suggestion
BRW00000131,U000003,1038399,The Perfect Sets,AHIKA,2025-11-20 17:19:08,271,True,Trending
BRW00000132,U000003,949854,Bar Necessities,Afast,2025-11-21 15:20:08,97,False,AI Suggestion
BRW00000133,U000003,1053733,Dinnerware,Ethnic Darzi,2025-11-12 12:59:08,84,True,Search
BRW00000134,U000003,899608,Serveware,Afast,2025-11-24 07:23:08,238,False,Recommendation
BRW00000135,U000003,243944,Polos,The Souled Store,2025-11-05 12:57:08,11,False,Search
BRW00000136,U000003,948892,Bar Necessities,Afast,2025-11-18 01:35:08,12,False,Recommendation
BRW00000137,U000003,612530,Diffusers,Global Aroma,2025-11-14 19:39:08,242,False,Trending
BRW00000138,U000003,134472,Trousers,SUBTRACT,2025-11-13 22:09:08,135,False,AI Suggestion
BRW00000139,U000003,950618,Bar Necessities,Afast,2025-11-16 11:06:08,104,True,Search
BRW00000140,U000003,950618,Bar Necessities,Afast,2025-11-22 16:00:08,26,False,Category Browse
BRW00000141,U000003,134472,Trousers,SUBTRACT,2025-12-02 13:43:08,101,True,Category Browse
BRW00000142,U000003,950140,Bar Necessities,Afast,2025-11-11 18:25:08,297,True,Trending
BRW00000143,U000003,1040453,Oversized Tees,Crazymonk,2025-11-15 05:10:08,28,True,Category Browse
BRW00000144,U000003,818766,Graphic Tees,Bewakoof,2025-11-22 04:17:08,44,False,AI Suggestion
BRW00000145,U000003,134472,Trousers,SUBTRACT,2025-11-24 02:01:08,72,False,Category Browse
BRW00000146,U000003,949038,Bar Necessities,Afast,2025-11-20 00:56:08,117,True,Search
BRW00000147,U000003,949860,Bar Necessities,Afast,2025-11-09 20:36:08,54,False,AI Suggestion
BRW00000148,U000003,1053248,Caps,Bewakoof,2025-11-11 07:42:08,172,False,AI Suggestion
BRW00000149,U000003,949860,Bar Necessities,Afast,2025-11-14 05:10:08,76,False,AI Suggestion
BRW00000150,U000003,1040453,Oversized Tees,Crazymonk,2025-11-13 01:38:08,102,True,Category Browse
BRW00000151,U000003,612530,Diffusers,Global Aroma,2025-12-03 14:08:08,248,True,Recommendation
BRW00000152,U000003,1053248,Caps,Bewakoof,2025-11-14 03:43:08,33,False,Category Browse
BRW00000153,U000003,949854,Bar Necessities,Afast,2025-11-07 20:56:08,15,True,Category Browse
BRW00000154,U000003,787062,Tees,DILLINGER,2025-11-08 14:50:08,163,False,Search
BRW00000155,U000003,243944,Polos,The Souled Store,2025-11-12 06:48:08,212,True,Recommendation
BRW00000156,U000003,612530,Diffusers,Global Aroma,2025-11-23 06:10:08,255,False,Search
BRW00000157,U000003,950618,Bar Necessities,Afast,2025-11-29 02:00:08,245,False,Trending
BRW00000158,U000003,1053248,Caps,Bewakoof,2025-11-07 03:10:08,38,False,AI Suggestion
BRW00000159,U000003,1040453,Oversized Tees,Crazymonk,2025-11-12 06:34:08,284,True,Recommendation
BRW00000160,U000003,949860,Bar Necessities,Afast,2025-11-12 06:18:08,191,True,Recommendation
BRW00000161,U000003,787062,Tees,DILLINGER,2025-11-07 16:48:08,202,True,AI Suggestion
BRW00000162,U000003,950140,Bar Necessities,Afast,2025-11-21 11:31:08,69,False,Category Browse
BRW00000163,U000003,1038399,The Perfect Sets,AHIKA,2025-12-02 08:43:08,54,False,Recommendation
BRW00000164,U000003,896118,Co-ord Sets,TRIPR,2025-11-19 07:56:08,278,False,Recommendation
BRW00000165,U000003,243944,Polos,The Souled Store,2025-11-22 15:20:08,113,True,Trending
BRW00000166,U000003,949038,Bar Necessities,Afast,2025-12-03 01:12:08,266,True,Recommendation
BRW00000167,U000003,818766,Graphic Tees,Bewakoof,2025-11-04 01:23:08,278,False,Category Browse
BRW00000168,U000003,428848,Casuals,Campus Sutra,2025-11-09 13:17:08,274,True,Recommendation
BRW00000169,U000003,1040453,Oversized Tees,Crazymonk,2025-12-02 02:45:08,277,True,Search
BRW00000170,U000003,792468,Security,Gizmore,2025-11-04 15:26:08,54,False,Trending
BRW00000171,U000003,134466,Trousers,SUBTRACT,2025-11-30 00:20:08,169,True,AI Suggestion
BRW00000172,U000003,1044302,Luxe Perfumes,Aris,2025-11-23 20:12:08,117,False,Recommendation
BRW00000173,U000003,612530,Diffusers,Global Aroma,2025-11-24 08:35:08,173,False,Search
BRW00000174,U000003,787062,Tees,DILLINGER,2025-11-29 11:52:08,68,True,AI Suggestion
BRW00000175,U000003,949854,Bar Necessities,Afast,2025-11-17 13:56:08,287,False,AI Suggestion
BRW00000176,U000003,818766,Graphic Tees,Bewakoof,2025-11-25 12:24:08,155,True,Recommendation
BRW00000177,U000003,134472,Trousers,SUBTRACT,2025-11-23 21:12:08,183,False,Search
BRW00000178,U000003,428848,Casuals,Campus Sutra,2025-12-03 01:12:08,35,True,Trending
BRW00000179,U000003,134466,Trousers,SUBTRACT,2025-12-01 03:44:08,101,False,AI Suggestion
BRW00000180,U000003,896118,Co-ord Sets,TRIPR,2025-11-24 06:17:08,111,True,Trending
BRW00000181,U000003,949860,Bar Necessities,Afast,2025-11-29 14:17:08,249,True,Trending
BRW00000182,U000003,792468,Security,Gizmore,2025-11-11 20:24:08,248,False,Recommendation
BRW00000183,U000003,717137,Innerwear,TRIPR,2025-11-28 21:53:08,196,False,Recommendation
BRW00000184,U000003,1038399,The Perfect Sets,AHIKA,2025-11-03 19:48:08,176,False,Trending
BRW00000185,U000003,41030,Snack Time,Ambrosia,2025-12-01 02:02:08,189,False,Trending
BRW00000186,U000003,1053733,Dinnerware,Ethnic Darzi,2025-11-28 07:20:08,188,True,AI Suggestion
BRW00000187,U000003,243944,Polos,The Souled Store,2025-11-20 18:19:08,64,False,AI Suggestion
BRW00000188,U000003,950618,Bar Necessities,Afast,2025-12-01 07:35:08,246,False,AI Suggestion
BRW00000189,U000003,899608,Serveware,Afast,2025-11-25 21:54:08,290,True,Trending
BRW00000190,U000003,899607,Serveware,Afast,2025-12-01 06:56:08,230,False,AI Suggestion
BRW00000191,U000003,1053248,Caps,Bewakoof,2025-11-22 23:25:08,130,True,Search
BRW00000192,U000003,1040453,Oversized Tees,Crazymonk,2025-11-03 18:33:08,259,True,AI Suggestion
BRW00000193,U000003,950140,Bar Necessities,Afast,2025-11-19 06:34:08,59,False,Recommendation
BRW00000194,U000003,792468,Security,Gizmore,2025-11-03 05:05:08,65,False,Category Browse
BRW00000195,U000003,949012,Bar Necessities,Afast,2025-11-12 20:06:08,56,True,Recommendation
BRW00000196,U000003,949860,Bar Necessities,Afast,2025-11-04 20:18:08,10,True,Recommendation
BRW00000197,U000004,949854,Bar Necessities,Afast,2025-11-24 04:30:08,238,True,Recommendation
BRW00000198,U000004,1012775,Wall Accents,PRAKRITI,2025-11-05 06:50:08,165,False,Category Browse
BRW00000199,U000004,134472,Trousers,SUBTRACT,2025-11-15 16:30:08,271,False,Recommendation
BRW00000200,U000004,1053733,Dinnerware,Ethnic Darzi,2025-11-24 15:46:08,291,True,Search
BRW00000201,U000004,1038399,The Perfect Sets,AHIKA,2025-11-16 06:02:08,154,True,Recommendation
BRW00000202,U000004,899608,Serveware,Afast,2025-11-10 22:44:08,172,False,Trending
BRW00000203,U000004,899607,Serveware,Afast,2025-11-19 23:56:08,98,False,Recommendation
BRW00000204,U000004,612530,Diffusers,Global Aroma,2025-11-16 04:16:08,194,False,Recommendation
BRW00000205,U000004,792468,Security,Gizmore,2025-11-05 20:01:08,78,True,Search
BRW00000206,U000004,950618,Bar Necessities,Afast,2025-12-03 12:23:08,259,False,Recommendation
BRW00000207,U000004,134472,Trousers,SUBTRACT,2025-11-28 20:18:08,222,False,AI Suggestion
BRW00000208,U000004,899608,Serveware,Afast,2025-11-14 11:40:08,270,False,AI Suggestion
BRW00000209,U000004,1053640,Dinnerware,Ethnic Darzi,2025-11-19 04:47:08,125,True,Trending
BRW00000210,U000004,950140,Bar Necessities,Afast,2025-12-02 22:38:08,131,False,Trending
BRW00000211,U000004,949854,Bar Necessities,Afast,2025-11-15 06:07:08,29,False,Category Browse
BRW00000212,U000004,243944,Polos,The Souled Store,2025-11-15 01:25:08,50,True,AI Suggestion
BRW00000213,U000004,1053733,Dinnerware,Ethnic Darzi,2025-11-09 08:40:08,274,True,AI Suggestion
BRW00000214,U000004,950140,Bar Necessities,Afast,2025-12-01 09:39:08,49,False,AI Suggestion
BRW00000215,U000004,134466,Trousers,SUBTRACT,2025-11-05 06:35:08,15,False,Trending
BRW00000216,U000004,949038,Bar Necessities,Afast,2025-11-05 01:33:08,179,False,Category Browse
BRW00000217,U000004,1053248,Caps,Bewakoof,2025-11-24 07:59:08,28,False,AI Suggestion
BRW00000218,U000004,787062,Tees,DILLINGER,2025-12-01 20:39:08,96,True,Category Browse
BRW00000219,U000004,1053248,Caps,Bewakoof,2025-11-09 22:08:08,156,False,Search
BRW00000220,U000004,428848,Casuals,Campus Sutra,2025-11-17 14:15:08,152,False,Recommendation
BRW00000221,U000004,950140,Bar Necessities,Afast,2025-11-25 08:15:08,141,True,Search
BRW00000222,U000004,950140,Bar Necessities,Afast,2025-11-27 22:22:08,87,False,Category Browse
BRW00000223,U000004,1053248,Caps,Bewakoof,2025-11-28 08:19:08,130,False,Recommendation
BRW00000224,U000004,1053248,Caps,Bewakoof,2025-11-17 15:48:08,53,True,AI Suggestion
BRW00000225,U000004,1053640,Dinnerware,Ethnic Darzi,2025-11-29 01:21:08,221,False,Recommendation
BRW00000226,U000004,1012775,Wall Accents,PRAKRITI,2025-11-18 17:29:08,95,True,AI Suggestion
BRW00000227,U000004,1040453,Oversized Tees,Crazymonk,2025-11-07 06:06:08,145,True,Search
BRW00000228,U000004,496872,Oversized Tees,BULLMER,2025-11-19 04:39:08,164,False,AI Suggestion
BRW00000229,U000004,717137,Innerwear,TRIPR,2025-11-20 19:24:08,209,False,Category Browse
BRW00000230,U000004,428848,Casuals,Campus Sutra,2025-11-17 04:09:08,157,False,Trending
BRW00000231,U000004,1012775,Wall Accents,PRAKRITI,2025-11-23 00:26:08,31,True,AI Suggestion
BRW00000232,U000004,950618,Bar Necessities,Afast,2025-11-22 03:30:08,149,False,Category Browse
BRW00000233,U000004,787062,Tees,DILLINGER,2025-11-08 13:53:08,210,False,Recommendation
BRW00000234,U000004,1040453,Oversized Tees,Crazymonk,2025-11-11 22:20:08,109,False,Recommendation
BRW00000235,U000004,818766,Graphic Tees,Bewakoof,2025-11-16 16:26:08,14,True,Search
BRW00000236,U000004,899608,Serveware,Afast,2025-11-30 01:03:08,238,False,Recommendation
BRW00000237,U000004,1040453,Oversized Tees,Crazymonk,2025-11-24 08:57:08,27,True,AI Suggestion
BRW00000238,U000004,134472,Trousers,SUBTRACT,2025-12-01 21:27:08,121,True,Search
BRW00000239,U000004,134472,Trousers,SUBTRACT,2025-11-05 22:01:08,202,True,Search
BRW00000240,U000004,1038399,The Perfect Sets,AHIKA,2025-11-28 08:51:08,249,True,Trending
BRW00000241,U000004,787062,Tees,DILLINGER,2025-11-09 03:25:08,175,False,Recommendation
BRW00000242,U000004,1044302,Luxe Perfumes,Aris,2025-12-01 08:20:08,41,False,Trending
BRW00000243,U000004,818766,Graphic Tees,Bewakoof,2025-12-02 08:17:08,145,True,Trending
BRW00000244,U000004,134472,Trousers,SUBTRACT,2025-11-18 10:30:08,211,True,Trending
BRW00000245,U000004,243944,Polos,The Souled Store,2025-11-28 23:20:08,230,True,AI Suggestion
BRW00000246,U000004,950618,Bar Necessities,Afast,2025-11-30 02:24:08,142,True,Search
BRW00000247,U000004,134472,Trousers,SUBTRACT,2025-11-30 22:23:08,138,False,Search
BRW00000248,U000004,949012,Bar Necessities,Afast,2025-11-28 20:29:08,10,True,Trending
BRW00000249,U000004,787062,Tees,DILLINGER,2025-11-28 18:48:08,210,True,AI Suggestion
BRW00000250,U000004,1038399,The Perfect Sets,AHIKA,2025-11-03 01:39:08,233,False,Search
BRW00000251,U000004,949854,Bar Necessities,Afast,2025-11-26 16:45:08,256,True,AI Suggestion
BRW00000252,U000004,949854,Bar Necessities,Afast,2025-11-04 05:48:08,165,False,Search
BRW00000253,U000004,950618,Bar Necessities,Afast,2025-11-02 21:04:08,197,False,Search
BRW00000254,U000004,1053640,Dinnerware,Ethnic Darzi,2025-11-19 07:28:08,113,True,AI Suggestion
BRW00000255,U000004,134466,Trousers,SUBTRACT,2025-11-03 04:27:08,107,False,Trending
BRW00000256,U000004,243944,Polos,The Souled Store,2025-11-12 18:47:08,259,True,Trending
BRW00000257,U000004,1040453,Oversized Tees,Crazymonk,2025-11-27 13:07:08,108,True,AI Suggestion
BRW00000258,U000004,717137,Innerwear,TRIPR,2025-11-18 05:05:08,286,False,Trending
BRW00000259,U000004,949854,Bar Necessities,Afast,2025-11-03 03:08:08,28,False,Search
BRW00000260,U000004,818766,Graphic Tees,Bewakoof,2025-11-07 18:07:08,217,True,Recommendation
BRW00000261,U000004,1053248,Caps,Bewakoof,2025-11-12 19:36:08,244,True,AI Suggestion
BRW00000262,U000004,717137,Innerwear,TRIPR,2025-11-04 15:07:08,82,False,Search
BRW00000263,U000004,949012,Bar Necessities,Afast,2025-11-03 22:07:08,134,True,Search
BRW00000264,U000004,496872,Oversized Tees,BULLMER,2025-11-13 15:12:08,167,True,Trending
BRW00000265,U000004,950140,Bar Necessities,Afast,2025-11-27 23:05:08,64,True,Trending
BRW00000266,U000004,950140,Bar Necessities,Afast,2025-11-07 21:55:08,42,True,Trending
BRW00000267,U000004,818766,Graphic Tees,Bewakoof,2025-11-07 17:26:08,215,False,Search
BRW00000268,U000004,1012775,Wall Accents,PRAKRITI,2025-11-15 00:01:08,174,True,Search
BRW00000269,U000004,949860,Bar Necessities,Afast,2025-11-28 07:05:08,71,False,Recommendation
BRW00000270,U000004,1044302,Luxe Perfumes,Aris,2025-11-20 11:25:08,199,True,Trending
BRW00000271,U000004,717137,Innerwear,TRIPR,2025-11-03 23:07:08,78,True,AI Suggestion
BRW00000272,U000004,899607,Serveware,Afast,2025-11-09 12:08:08,259,True,Search
BRW00000273,U000004,41030,Snack Time,Ambrosia,2025-11-28 14:24:08,155,False,Trending
BRW00000274,U000004,1038399,The Perfect Sets,AHIKA,2025-11-29 11:00:08,148,False,Trending
BRW00000275,U000004,717137,Innerwear,TRIPR,2025-11-03 11:30:08,29,True,Trending
BRW00000276,U000004,950140,Bar Necessities,Afast,2025-11-03 14:29:08,164,False,Trending
BRW00000277,U000004,41030,Snack Time,Ambrosia,2025-11-16 09:57:08,70,True,AI Suggestion
BRW00000278,U000004,896118,Co-ord Sets,TRIPR,2025-11-05 23:37:08,122,False,Recommendation
BRW00000279,U000004,787062,Tees,DILLINGER,2025-12-02 11:02:08,86,False,Trending
BRW00000280,U000004,496872,Oversized Tees,BULLMER,2025-11-27 19:10:08,32,True,Category Browse
BRW00000281,U000004,792468,Security,Gizmore,2025-11-27 03:53:08,181,False,Search
BRW00000282,U000004,243944,Polos,The Souled Store,2025-11-10 15:10:08,285,True,Recommendation
