progress_id,user_id,challenge_id,challenge_name,current_progress,target_value,progress_percentage,is_completed,popcoins_earned,started_at,completed_at,last_updated
PROG00000024,U000010,CH003,UPI Champion,6,10,60.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000025,U000011,CH001,Weekend Warrior,1,3,33.33,False,0,2025-12-02,,2025-12-03 17:09:45
PROG00000026,U000011,CH004,Big Spender,3991,5000,79.82,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000027,U000011,CH002,Streak Master,2,5,40.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000028,U000012,CH005,Bill Master,0,5,0.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000029,U000012,CH001,Weekend Warrior,2,3,66.67,False,0,2025-12-02,,2025-12-03 17:09:45
PROG00000030,U000013,CH004,Big Spender,3454,5000,69.08,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000031,U000013,CH005,Bill Master,0,5,0.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000032,U000014,CH001,Weekend Warrior,2,3,66.67,False,0,2025-12-02,,2025-12-03 17:09:45
PROG00000033,U000014,CH003,UPI Champion,10,10,100.0,True,150,2025-12-03,2025-12-01,2025-12-03 17:09:45
PROG00000034,U000014,CH004,Big Spender,3437,5000,68.74,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000035,U000014,CH002,Streak Master,5,5,100.0,True,200,2025-12-03,2025-12-01,2025-12-03 17:09:45
PROG00000036,U000015,CH001,Weekend Warrior,3,3,100.0,True,100,2025-12-02,2025-12-02,2025-12-03 17:09:45
PROG00000037,U000015,CH005,Bill Master,4,5,80.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000038,U000015,CH004,Big Spender,4054,5000,81.08,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000039,U000016,CH005,Bill Master,5,5,100.0,True,120,2025-12-03,2025-12-01,2025-12-03 17:09:45
PROG00000040,U000016,CH004,Big Spender,851,5000,17.02,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000041,U000017,CH004,Big Spender,344,5000,6.88,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000042,U000017,CH005,Bill Master,4,5,80.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000043,U000017,CH003,UPI Champion,1,10,10.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000044,U000017,CH002,Streak Master,4,5,80.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000045,U000018,CH001,Weekend Warrior,2,3,66.67,False,0,2025-12-02,,2025-12-03 17:09:45
PROG00000046,U000018,CH005,Bill Master,4,5,80.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000047,U000018,CH004,Big Spender,4946,5000,98.92,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000048,U000018,CH003,UPI Champion,6,10,60.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000049,U000019,CH001,Weekend Warrior,3,3,100.0,True,100,2025-12-02,2025-11-30,2025-12-03 17:09:45
PROG00000050,U000019,CH003,UPI Champion,9,10,90.0,False,0,2025-12-03,,2025-12-03 17:09:45
PROG00000051,U000019,CH004,Big Spender,4282,5000,85.64,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000052,U000020,CH004,Big Spender,210,5000,4.2,False,0,2025-12-01,,2025-12-03 17:09:45
PROG00000053,U000020,CH005,Bill Master,1,5,20.0,False,0,2025-12-03,,2025-12-03 17:09:45
