actual_product_id,structure,title,color,size,style_code,vendor_sku_code,ideal_for,size_chart,category_name,sp,mrp,coins_earn,coins_burn,brand_name,id,age_group,occasion,material,material_care,pattern,fit,length,neck,sleeve_length,style,waist,closure,size_and_fit,features,skin_type,hair_type,pack_size,preference,pack_quantity,package_contents,date_created,date_updated,product_id,container_type,country_of_origin,dosage,flavour,food_preference,food_type,heel_pattern,how_to_use,ingredients,instructions,is_organic,model,mounting_type,nutrition_content,other_details,outer_material,professional_care,protein_type,quality,shade,shape,shelf_life,shoes_fastening,shoes_type,sole_material,treatment_form,weave_type,weight,product_rank,dim_breadth,dim_height,dim_length,shipping_weight,shipping_weight_type,importer_address,manufacturer_address,color_relation_json,catalogue_rank,weightage_score,rank_type,compatible_devices,warranty,warranty_type,image_list
243947,child,Men Originals White Block Collar Neck Printed T-shirts,Multicolor,S,THE93F1102122,235925,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/235810_235810_sizechart_20240904_064503.jpg,,1049.00,1499.00,52,262,The Souled Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://ik.imagekit.io/t2vt6tx4m/media/images/products/2024/05/popclub_product_THE93_171464015231.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2024/05/popclub_product_THE93_171464015268.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2024/05/popclub_product_THE93_171464015317.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2024/05/popclub_product_THE93_171464015354.jpg, https://ik.imagekit.io/t2vt6tx4m/media/images/products/2024/05/popclub_product_THE93_171464015389.jpg"
243948,child,Men Tss Originals: White Block Collar Neck T-Shirts,Multicolor,M,THE93F1102122,235926,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/235810_235810_sizechart_20240904_064503.jpg,,1049.00,1499.00,52,262,The Souled Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243949,child,Tss Originals: White Block,Multicolor,L,THE93F1102122,235927,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/235810_235810_sizechart_20240904_064503.jpg,,1049.00,1499.00,52,262,The Souled Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243950,child,Tss Originals: White Block,Multicolor,XL,THE93F1102122,235928,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/235810_235810_sizechart_20240904_064503.jpg,,1049.00,1499.00,52,262,The Souled Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243951,child,Tss Originals: White Block,Multicolor,XXL,THE93F1102122,235929,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/235810_235810_sizechart_20240904_064503.jpg,,1049.00,1499.00,52,262,The Souled Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243952,child,Tss Originals: White Block,Multicolor,XXXL,THE93F1102122,235930,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/235810_235810_sizechart_20240904_064503.jpg,,1049.00,1499.00,52,262,The Souled Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428848,parent,Men's Pink Heathered Korean Oversized Shirt,Pink,S,CAMP54F1025905,,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_sizechart_20250506_123102.jpg,Casuals,,,,,Campus Sutra,165975,,Casual,Polyester,Machine Wash As Per The Tag,Solid/Plain,Oversized,,Notched Lapel,Half Sleeve,,,Button Fly,,,,,,,1N,,2025-01-24 12:00:26.344 +0530,2025-09-17 21:20:29.470 +0530,428848,,India,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,350gm,86348,18.00,5.00,18.00,10.00,GRAM,,,[],4,0.00,freshness,,0 months,No Warranty,"https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_0_20250123_130052.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_1_20250123_130056.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_2_20250123_130100.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_3_20250123_130104.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_4_20250123_130108.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_5_20250123_130111.jpg"
430986,child,Men's Pink Heathered Korean Oversized Shirt,Pink,S,CAMP54F1025905,SSZ24_CSMOVSRT7490_S,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_sizechart_20250506_123102.jpg,,899.00,1999.00,45,225,Campus Sutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_0_20250123_130052.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_1_20250123_130056.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_2_20250123_130100.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_3_20250123_130104.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_4_20250123_130108.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_5_20250123_130111.jpg"
430987,child,Men's Pink Heathered Korean Oversized Shirt,Pink,M,CAMP54F1025905,SSZ24_CSMOVSRT7490_M,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_sizechart_20250506_123102.jpg,,899.00,1999.00,45,225,Campus Sutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_0_20250123_130052.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_1_20250123_130056.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_2_20250123_130100.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_3_20250123_130104.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_4_20250123_130108.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_5_20250123_130111.jpg"
430988,child,Men's Pink Heathered Korean Oversized Shirt,Pink,L,CAMP54F1025905,SSZ24_CSMOVSRT7490_L,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_sizechart_20250506_123102.jpg,,899.00,1999.00,45,225,Campus Sutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_0_20250123_130052.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_1_20250123_130056.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_2_20250123_130100.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_3_20250123_130104.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_4_20250123_130108.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_5_20250123_130111.jpg"
430989,child,Men's Pink Heathered Korean Oversized Shirt,Pink,XL,CAMP54F1025905,SSZ24_CSMOVSRT7490_XL,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_sizechart_20250506_123102.jpg,,899.00,1999.00,45,225,Campus Sutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_0_20250123_130052.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_1_20250123_130056.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_2_20250123_130100.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_3_20250123_130104.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_4_20250123_130108.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/SSZ24_CSMOVSRT7490_S_SSZ24_CSMOVSRT7490_5_20250123_130111.jpg"
496872,parent,Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2,Lavender||Red,S,BODY54F111341,,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/BUL_2BDS_7ICL_CRE _S_BUL_2BDS_7ICL_CRE_sizechart_20250311_104215.jpg,Oversized Tees,,,,,BULLMER,177184,,Casual,Cotton Blend,Hand Wash Only,Printed,Comfortable,,Round Neck,Half Sleeve,,,Pull On,,,,,,,2N,,2025-03-11 18:00:43.536 +0530,2025-11-11 20:00:33.298 +0530,496872,,India,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,250gm,75139,15.00,5.00,15.00,10.00,GRAM,,,[],99999,0.00,freshness,[],0 months,No Warranty,"https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/df6857d5-fa54-44da-ab95-1d408f08a6f2_0_20250917_120015.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/1343378e-8a33-43d2-9b13-4618410d6228_1_20250917_120016.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/5acb2d53-7376-4a32-a056-a720b6f8d0a4_2_20250917_120017.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/f5d2ae71-86a5-4ac0-98c8-f1a35eda2bcd_3_20250917_120018.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/8b7c8975-31a5-4fef-a732-defd06c4995e_5_20250917_120019.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/dc0d2d4a-e65e-48cb-8665-e512bbd771c4_4_20250917_120020.jpg"
499469,child,Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2,Lavender||Red,S,BODY54F111341,BUL-2BDS-7ICL_CRE -S,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/BUL_2BDS_7ICL_CRE _S_BUL_2BDS_7ICL_CRE_sizechart_20250311_104215.jpg,,392.00,2998.00,20,39,BULLMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/df6857d5-fa54-44da-ab95-1d408f08a6f2_0_20250917_120015.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/1343378e-8a33-43d2-9b13-4618410d6228_1_20250917_120016.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/5acb2d53-7376-4a32-a056-a720b6f8d0a4_2_20250917_120017.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/f5d2ae71-86a5-4ac0-98c8-f1a35eda2bcd_3_20250917_120018.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/8b7c8975-31a5-4fef-a732-defd06c4995e_5_20250917_120019.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/dc0d2d4a-e65e-48cb-8665-e512bbd771c4_4_20250917_120020.jpg"
499470,child,Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2,Lavender||Red,M,BODY54F111341,BUL-2BDS-7ICL_CRE -M,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/BUL_2BDS_7ICL_CRE _S_BUL_2BDS_7ICL_CRE_sizechart_20250311_104215.jpg,,392.00,2998.00,20,39,BULLMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/df6857d5-fa54-44da-ab95-1d408f08a6f2_0_20250917_120015.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/1343378e-8a33-43d2-9b13-4618410d6228_1_20250917_120016.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/5acb2d53-7376-4a32-a056-a720b6f8d0a4_2_20250917_120017.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/f5d2ae71-86a5-4ac0-98c8-f1a35eda2bcd_3_20250917_120018.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/8b7c8975-31a5-4fef-a732-defd06c4995e_5_20250917_120019.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/dc0d2d4a-e65e-48cb-8665-e512bbd771c4_4_20250917_120020.jpg"
499471,child,Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2,Lavender||Red,L,BODY54F111341,BUL-2BDS-7ICL_CRE -L,Men,https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/BUL_2BDS_7ICL_CRE _S_BUL_2BDS_7ICL_CRE_sizechart_20250311_104215.jpg,,392.00,2998.00,20,39,BULLMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/df6857d5-fa54-44da-ab95-1d408f08a6f2_0_20250917_120015.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/1343378e-8a33-43d2-9b13-4618410d6228_1_20250917_120016.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/5acb2d53-7376-4a32-a056-a720b6f8d0a4_2_20250917_120017.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/f5d2ae71-86a5-4ac0-98c8-f1a35eda2bcd_3_20250917_120018.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/8b7c8975-31a5-4fef-a732-defd06c4995e_5_20250917_120019.jpg, https://ik.imagekit.io/t2vt6tx4m/media/compressed-images/dc0d2d4a-e65e-48cb-8665-e512bbd771c4_4_20250917_120020.jpg"
